year,iso,interstate,civilwar,intervention
2007,SOM,0,0,1
2008,SOM,0,0,1
2009,SOM,0,0,1
2010,SOM,0,0,1
2011,SOM,0,0,1
2012,SOM,0,0,1
2013,SOM,0,0,1
2014,SOM,0,0,1
2015,SOM,0,0,1
2016,SOM,0,0,1
2017,SOM,0,0,1
2018,SOM,0,0,1
1987,SUR,0,1,0
1966,SYR,0,1,0
1979,SYR,0,1,0
1980,SYR,0,1,0
1981,SYR,0,1,0
1982,SYR,0,1,0
2011,SYR,0,1,0
2012,SYR,0,1,0
2013,SYR,0,1,0
2014,SYR,0,1,0
2015,SYR,0,0,1
2016,SYR,0,0,1
2017,SYR,0,0,1
2018,SYR,0,0,1
1966,TCD,0,1,0
1967,TCD,0,1,0
1968,TCD,0,1,0
1969,TCD,0,0,1
1970,TCD,0,0,1
1971,TCD,0,0,1
1972,TCD,0,0,1
1976,TCD,0,1,0
1977,TCD,0,1,0
1978,TCD,0,0,1
1979,TCD,0,1,0
1980,TCD,0,0,1
1981,TCD,0,0,1
1982,TCD,0,1,0
1983,TCD,0,0,1
1984,TCD,0,0,1
1986,TCD,0,0,1
1987,TCD,0,0,1
1989,TCD,0,1,0
1990,TCD,0,1,0
1991,TCD,0,1,0
1992,TCD,0,1,0
1993,TCD,0,1,0
1994,TCD,0,1,0
1997,TCD,0,1,0
1998,TCD,0,1,0
1999,TCD,0,1,0
2000,TCD,0,1,0
2001,TCD,0,1,0
2002,TCD,0,1,0
2003,TCD,0,1,0
2005,TCD,0,1,0
2006,TCD,0,1,0
2007,TCD,0,1,0
2008,TCD,0,1,0
2009,TCD,0,1,0
2010,TCD,0,1,0
2015,TCD,0,1,0
2017,TCD,0,1,0
2018,TCD,0,1,0
1986,TGO,0,1,0
1951,THA,0,1,0
1974,THA,0,1,0
1975,THA,0,1,0
1976,THA,0,1,0
1977,THA,0,1,0
1978,THA,0,1,0
1979,THA,0,1,0
1980,THA,0,1,0
1981,THA,0,1,0
1982,THA,0,1,0
2003,THA,0,1,0
2004,THA,0,1,0
2005,THA,0,1,0
2006,THA,0,1,0
2007,THA,0,1,0
2008,THA,0,1,0
2009,THA,0,1,0
2010,THA,0,1,0
2011,THA,0,1,0
2012,THA,0,1,0
2013,THA,0,1,0
2014,THA,0,1,0
2015,THA,0,1,0
2016,THA,0,1,0
2017,THA,0,1,0
2018,THA,0,1,0
1992,TJK,0,1,0
1993,TJK,0,0,1
1994,TJK,0,0,1
1995,TJK,0,0,1
1996,TJK,0,0,1
1997,TJK,0,1,0
1998,TJK,0,1,0
2000,TJK,0,1,0
2010,TJK,0,1,0
2011,TJK,0,1,0
1990,TTO,0,1,0
1953,TUN,1,0,0
1954,TUN,1,0,0
1955,TUN,1,0,0
1956,TUN,1,0,0
1980,TUN,0,1,0
2016,TUN,0,1,0
1984,TUR,0,1,0
1985,TUR,0,1,0
1986,TUR,0,1,0
1987,TUR,0,1,0
1988,TUR,0,1,0
1989,TUR,0,1,0
1990,TUR,0,1,0
1991,TUR,0,1,0
1992,TUR,0,1,0
1993,TUR,0,1,0
1994,TUR,0,1,0
1995,TUR,0,1,0
1996,TUR,0,1,0
1997,TUR,0,1,0
1998,TUR,0,1,0
1999,TUR,0,1,0
2000,TUR,0,1,0
2001,TUR,0,1,0
2002,TUR,0,1,0
2003,TUR,0,1,0
2004,TUR,0,1,0
2005,TUR,0,1,0
2006,TUR,0,1,0
2007,TUR,0,1,0
2008,TUR,0,1,0
2009,TUR,0,1,0
2010,TUR,0,1,0
2011,TUR,0,1,0
2012,TUR,0,1,0
2013,TUR,0,1,0
2015,TUR,0,1,0
2016,TUR,0,1,0
2017,TUR,0,1,0
2018,TUR,0,1,0
1971,UGA,0,1,0
1972,UGA,0,1,0
1974,UGA,0,1,0
1979,UGA,0,0,1
1980,UGA,0,0,1
1981,UGA,0,0,1
1982,UGA,0,1,0
1983,UGA,0,1,0
1984,UGA,0,1,0
1985,UGA,0,1,0
1986,UGA,0,1,0
1987,UGA,0,1,0
1988,UGA,0,1,0
1989,UGA,0,1,0
1990,UGA,0,1,0
1991,UGA,0,1,0
1992,UGA,0,1,0
1994,UGA,0,1,0
1995,UGA,0,1,0
1996,UGA,0,1,0
1997,UGA,0,1,0
1998,UGA,0,1,0
1999,UGA,0,1,0
2000,UGA,0,1,0
2001,UGA,0,1,0
2002,UGA,0,1,0
2003,UGA,0,1,0
2004,UGA,0,1,0
2005,UGA,0,0,1
2006,UGA,0,1,0
2007,UGA,0,1,0
2008,UGA,0,0,1
2009,UGA,0,0,1
2010,UGA,0,0,1
2011,UGA,0,0,1
2013,UGA,0,0,1
2014,UGA,0,0,1
2015,UGA,0,0,1
2016,UGA,0,0,1
2017,UGA,0,0,1
2018,UGA,0,0,1
2014,UKR,0,0,1
2015,UKR,0,0,1
2016,UKR,0,0,1
2017,UKR,0,0,1
2018,UKR,0,0,1
1972,URY,0,1,0
1950,USA,1,0,0
2001,USA,0,0,1
2002,USA,0,0,1
2003,USA,0,0,1
2004,USA,0,0,1
2005,USA,0,0,1
2006,USA,0,0,1
2007,USA,0,0,1
2008,USA,0,0,1
2009,USA,0,0,1
2010,USA,0,0,1
2011,USA,0,0,1
2012,USA,0,0,1
2013,USA,0,0,1
2014,USA,0,0,1
2015,USA,0,0,1
2016,USA,0,0,1
2017,USA,0,0,1
1999,UZB,0,1,0
2000,UZB,0,0,1
2004,UZB,0,1,0
1962,VEN,0,1,0
1982,VEN,0,1,0
1992,VEN,0,1,0
1966,ZAF,0,1,0
1967,ZAF,0,1,0
1968,ZAF,0,1,0
1969,ZAF,0,1,0
1970,ZAF,0,1,0
1971,ZAF,0,1,0
1972,ZAF,0,1,0
1973,ZAF,0,1,0
1974,ZAF,0,1,0
1975,ZAF,0,1,0
1976,ZAF,0,1,0
1977,ZAF,0,1,0
1978,ZAF,0,1,0
1979,ZAF,0,1,0
1980,ZAF,0,1,0
1981,ZAF,0,1,0
1982,ZAF,0,1,0
1983,ZAF,0,1,0
1984,ZAF,0,1,0
1985,ZAF,0,1,0
1986,ZAF,0,1,0
1987,ZAF,0,1,0
1988,ZAF,0,1,0
1967,ZWE,0,1,0
1968,ZWE,0,1,0
1973,ZWE,0,1,0
1974,ZWE,0,1,0
1975,ZWE,0,0,1
1976,ZWE,0,1,0
1977,ZWE,0,1,0
1978,ZWE,0,1,0
1979,ZWE,0,1,0
