iso,year,gini
PRY,2011,52.3
PRY,2012,47.6
PRY,2013,47.9
PRY,2014,50.7
PRY,2015,47.6
PRY,2016,47.9
PRY,2017,48.8
PRY,2018,46.2
PSE,2004,34
PSE,2005,34.7
PSE,2006,34
PSE,2007,35.6
PSE,2009,34.5
PSE,2010,35.3
PSE,2011,34.4
PSE,2016,33.7
ROU,1989,23.3
ROU,1992,25.5
ROU,1994,28.2
ROU,1995,31.2
ROU,1997,30.5
ROU,2006,39.6
ROU,2007,37.5
ROU,2008,36.4
ROU,2009,35.6
ROU,2010,35.5
ROU,2011,35.9
ROU,2012,36.5
ROU,2013,36.9
ROU,2014,36
ROU,2015,35.9
ROU,2016,34.4
ROU,2017,36
RUS,1993,48.4
RUS,1996,46.1
RUS,1997,38.4
RUS,1998,38.1
RUS,1999,37.4
RUS,2000,37.1
RUS,2001,36.9
RUS,2002,37.3
RUS,2003,40
RUS,2004,40.3
RUS,2005,41.3
RUS,2006,41
RUS,2007,42.3
RUS,2008,41.6
RUS,2009,39.8
RUS,2010,39.5
RUS,2011,39.7
RUS,2012,40.7
RUS,2013,40.9
RUS,2014,39.9
RUS,2015,37.7
RUS,2016,36.8
RUS,2017,37.2
RUS,2018,37.5
RWA,2000,48.5
RWA,2005,52
RWA,2010,47.2
RWA,2013,45.1
RWA,2016,43.7
SDN,2009,35.4
SDN,2014,34.2
SEN,1991,54.1
SEN,1994,41.4
SEN,2001,41.2
SEN,2005,39.2
SEN,2011,40.3
SLB,2005,46.1
SLB,2013,37.1
SLE,2003,40.2
SLE,2011,34
SLE,2018,35.7
SLV,1991,54
SLV,1995,49.9
SLV,1996,51
SLV,1998,54.5
SLV,1999,52.2
SLV,2000,51.5
SLV,2001,51.4
SLV,2002,51.9
SLV,2003,50.4
SLV,2004,47.8
SLV,2005,48.5
SLV,2006,45.7
SLV,2007,45.2
SLV,2008,46.9
SLV,2009,45.8
SLV,2010,43.5
SLV,2011,42.3
SLV,2012,41.8
SLV,2013,43.4
SLV,2014,41.6
SLV,2015,40.6
SLV,2016,40
SLV,2017,38
SLV,2018,38.6
SRB,2012,39.9
SRB,2013,39.5
SRB,2014,40.5
SRB,2015,40.5
SRB,2016,38.8
SRB,2017,36.2
SSD,2009,46.3
STP,2000,32.1
STP,2010,30.8
STP,2017,56.3
SUR,1999,57.6
SVK,1992,20.2
SVK,1996,26.3
SVK,2004,27.1
SVK,2005,29.3
SVK,2006,25.8
SVK,2007,24.7
SVK,2008,26
SVK,2009,27.2
SVK,2010,27.3
SVK,2011,26.5
SVK,2012,26.1
SVK,2013,28.1
SVK,2014,26.1
SVK,2015,26.5
SVK,2016,25.2
SVN,1987,23.6
SVN,1993,29.2
SVN,1997,24.1
SVN,1999,24
SVN,2004,24.8
SVN,2005,24.6
SVN,2006,24.4
SVN,2007,24.4
SVN,2008,23.7
SVN,2009,24.8
SVN,2010,24.9
SVN,2011,24.9
SVN,2012,25.6
SVN,2013,26.2
SVN,2014,25.7
SVN,2015,25.4
SVN,2016,24.8
SVN,2017,24.2
SWE,1967,34
SWE,1975,24.3
SWE,1981,22.9
SWE,1987,23.1
SWE,1992,24.9
SWE,1995,25.2
SWE,2000,27.2
SWE,2003,25.3
SWE,2004,26.1
SWE,2005,26.8
SWE,2006,26.4
SWE,2007,27.1
SWE,2008,28.1
SWE,2009,27.3
SWE,2010,27.7
SWE,2011,27.6
SWE,2012,27.6
SWE,2013,28.8
SWE,2014,28.4
SWE,2015,29.2
SWE,2016,29.6
SWE,2017,28.8
SWZ,1994,60.5
SWZ,2000,53.1
SWZ,2009,51.5
SWZ,2016,54.6
SYC,2013,46.8
SYR,2004,35.8
TCD,2003,39.8
TCD,2011,43.3
TGO,2006,42.2
TGO,2011,46
TGO,2015,43.1
THA,1981,45.2
THA,1988,43.8
THA,1990,45.3
THA,1992,47.9
THA,1994,43.5
THA,1996,42.9
THA,1998,41.5
THA,1999,43.1
THA,2000,42.8
THA,2002,41.9
THA,2004,42.5
THA,2006,41.8
THA,2007,39.8
THA,2008,40.3
THA,2009,39.6
THA,2010,39.4
THA,2011,37.5
THA,2012,39.3
THA,2013,37.8
THA,2014,37
THA,2015,36
THA,2016,36.9
THA,2017,36.5
THA,2018,36.4
TJK,1999,29.5
TJK,2003,32.7
TJK,2004,33.6
TJK,2007,32.2
TJK,2009,30.8
TJK,2015,34
TKM,1998,40.8
TLS,2001,35.9
TLS,2007,27.8
TLS,2014,28.7
TON,2001,37.7
TON,2009,37.5
TON,2015,37.6
TTO,1988,42.6
TTO,1992,40.3
TUN,1985,43.4
TUN,1990,40.2
TUN,1995,41.7
TUN,2000,40.8
TUN,2005,37.7
TUN,2010,35.8
TUN,2015,32.8
TUR,1987,43.5
TUR,1994,41.3
TUR,2002,41.4
TUR,2003,42.2
TUR,2004,41.3
TUR,2005,42.6
TUR,2006,39.6
TUR,2007,38.4
TUR,2008,39
TUR,2009,39
TUR,2010,38.8
TUR,2011,40
TUR,2012,40.2
TUR,2013,40.2
TUR,2014,41.2
TUR,2015,42.9
TUR,2016,41.9
TUR,2017,41.4
TUR,2018,41.9
TUV,2010,39.1
TZA,1991,35.3
TZA,2000,37.3
TZA,2007,40.3
TZA,2011,37.8
TZA,2017,40.5
UGA,1989,44.4
UGA,1992,41.4
UGA,1996,39
UGA,1999,43
UGA,2002,45.2
UGA,2005,42.9
UGA,2009,44.2
UGA,2012,41
UGA,2016,42.8
UKR,1992,29.7
UKR,1993,28.9
UKR,1995,39.3
UKR,1996,35.2
UKR,2002,29
UKR,2003,28.7
UKR,2004,28.9
UKR,2005,29
UKR,2006,29.8
UKR,2007,27
UKR,2008,26.6
UKR,2009,25.3
UKR,2010,24.8
UKR,2011,24.6
UKR,2012,24.7
UKR,2013,24.6
UKR,2014,24
UKR,2015,25.5
UKR,2016,25
UKR,2017,26
UKR,2018,26.1
URY,1992,40.2
URY,1995,42.1
URY,1996,42.7
URY,1997,42.7
URY,1998,43.8
URY,2000,43
URY,2001,44.9
URY,2002,45.5
URY,2003,45
URY,2004,45.8
URY,2005,44.7
URY,2006,45.9
URY,2007,46.4
URY,2008,45.1
URY,2009,45.5
URY,2010,44.5
URY,2011,42.1
URY,2012,39.9
URY,2013,40.4
URY,2014,40.1
URY,2015,40.1
URY,2016,39.7
URY,2017,39.5
URY,2018,39.7
USA,1974,35.3
USA,1979,34.6
USA,1986,37.5
USA,1991,38.2
USA,1994,40.2
USA,1997,40.7
USA,2000,40.3
USA,2004,40.5
USA,2007,41
USA,2010,40.3
USA,2013,41
USA,2016,41.4
UZB,1998,44.7
UZB,2000,36.1
UZB,2002,33
UZB,2003,35.3
VEN,1981,55.6
VEN,1987,53.4
VEN,1989,45.3
VEN,1992,42.5
VEN,1995,47.8
VEN,1998,49.8
VEN,1999,48.3
VEN,2001,48.2
VEN,2002,50.6
VEN,2003,50.4
VEN,2004,49.8
VEN,2005,52.4
VEN,2006,46.9
VNM,1992,35.7
VNM,1998,35.4
VNM,2002,37
VNM,2004,36.8
VNM,2006,35.8
VNM,2008,35.6
VNM,2010,39.3
VNM,2012,35.6
VNM,2014,34.8
VNM,2016,35.3
VNM,2018,35.7
VUT,2010,37.6
WSM,2002,40.7
WSM,2008,42
WSM,2013,38.7
XKX,2003,29
XKX,2005,31.2
XKX,2006,30.3
XKX,2009,31.8
XKX,2010,33.3
XKX,2011,27.8
XKX,2012,29
XKX,2013,26.3
XKX,2014,27.3
XKX,2015,26.5
XKX,2016,26.7
XKX,2017,29
YEM,1998,35
YEM,2005,34.7
YEM,2014,36.7
ZAF,1993,59.3
ZAF,1996,60.7
ZAF,2000,57.8
ZAF,2005,64.8
ZAF,2008,63
ZAF,2010,63.4
ZAF,2014,63
ZMB,1991,60.5
ZMB,1993,52.6
ZMB,1996,48.3
ZMB,1998,49.1
ZMB,2002,42.1
ZMB,2004,54.3
ZMB,2006,54.6
ZMB,2010,55.6
ZMB,2015,57.1
ZWE,2011,43.2
ZWE,2017,44.3
