iso,year,gini
CHN,1996,35.2
CHN,1999,38.7
CHN,2002,42
CHN,2005,40.9
CHN,2008,43
CHN,2010,43.7
CHN,2011,42.4
CHN,2012,42.2
CHN,2013,39.7
CHN,2014,39.2
CHN,2015,38.6
CHN,2016,38.5
CIV,1985,45.5
CIV,1986,38
CIV,1987,40.5
CIV,1988,36.9
CIV,1992,39.4
CIV,1995,40.6
CIV,1998,39
CIV,2002,41.3
CIV,2008,43.2
CIV,2015,41.5
CMR,1996,44.4
CMR,2001,42.1
CMR,2007,42.8
CMR,2014,46.6
COD,2004,42.2
COD,2012,42.1
COG,2005,47.3
COG,2011,48.9
COL,1992,51.5
COL,1996,56.9
COL,1999,58.7
COL,2000,58.7
COL,2001,57.2
COL,2002,55.8
COL,2003,53.4
COL,2004,54.8
COL,2005,53.7
COL,2008,55.5
COL,2009,54.4
COL,2010,54.7
COL,2011,53.5
COL,2012,52.7
COL,2013,52.8
COL,2014,52.7
COL,2015,51.1
COL,2016,50.8
COL,2017,49.7
COL,2018,50.4
COM,2004,55.9
COM,2014,45.3
CPV,2001,52.5
CPV,2007,47.2
CPV,2015,42.4
CRI,1981,47.5
CRI,1986,34.4
CRI,1989,46.7
CRI,1990,45.3
CRI,1991,46.6
CRI,1992,45.7
CRI,1993,46
CRI,1994,46.8
CRI,1995,45.7
CRI,1996,46.5
CRI,1997,45.6
CRI,1998,45.7
CRI,1999,47.7
CRI,2000,47.4
CRI,2001,51.6
CRI,2002,51.9
CRI,2003,49.3
CRI,2004,48.3
CRI,2005,47.5
CRI,2006,49.4
CRI,2007,49.3
CRI,2008,48.7
CRI,2009,50.6
CRI,2010,48.2
CRI,2011,48.7
CRI,2012,48.6
CRI,2013,49.3
CRI,2014,48.6
CRI,2015,48.4
CRI,2016,48.7
CRI,2017,48.3
CRI,2018,48
CYP,2004,30.1
CYP,2005,30.3
CYP,2006,31.1
CYP,2007,31.1
CYP,2008,31.7
CYP,2009,32.1
CYP,2010,31.5
CYP,2011,32.6
CYP,2012,34.3
CYP,2013,37
CYP,2014,35.6
CYP,2015,34
CYP,2016,32.9
CYP,2017,31.4
CZE,1992,20.7
CZE,1993,26.6
CZE,1996,25.8
CZE,2002,26.6
CZE,2004,27.5
CZE,2005,26.9
CZE,2006,26.7
CZE,2007,26
CZE,2008,26.3
CZE,2009,26.2
CZE,2010,26.6
CZE,2011,26.4
