"","OriginCountry","Year","Stock_IDMC"
"239","CHN","2016",NA
"240","CHN","2017",NA
"241","CHN","2018",NA
"242","CIV","2009","342000"
"243","CIV","2010","522000"
"244","CIV","2011","247000"
"245","CIV","2012","80000"
"246","CIV","2013","80000"
"247","CIV","2014","301000"
"248","CIV","2015","303000"
"249","CIV","2016","301000"
"250","CIV","2017","16000"
"251","CIV","2018","302000"
"252","CMR","2008",NA
"253","CMR","2010",NA
"254","CMR","2012",NA
"255","CMR","2013",NA
"256","CMR","2014","40000"
"257","CMR","2015","124000"
"258","CMR","2016","177000"
"259","CMR","2017","239000"
"260","CMR","2018","668000"
"261","COD","2008",NA
"262","COD","2009","1900000"
"263","COD","2010","1700000"
"264","COD","2011","1710000"
"265","COD","2012","2700000"
"266","COD","2013","2964000"
"267","COD","2014","2757000"
"268","COD","2015","1500000"
"269","COD","2016","2230000"
"270","COD","2017","4480000"
"271","COD","2018","3081000"
"272","COG","2009","7800"
"273","COG","2010","7800"
"274","COG","2011","7800"
"275","COG","2012","7800"
"276","COG","2013","7800"
"277","COG","2014","7800"
"278","COG","2015","7800"
"279","COG","2016","33000"
"280","COG","2017","108000"
"281","COG","2018","107000"
"282","COK","2010",NA
"283","COK","2016",NA
"284","COL","2008",NA
"285","COL","2009","4916000"
"286","COL","2010","5196000"
"287","COL","2011","5281000"
"288","COL","2012","5455000"
"289","COL","2013","5700000"
"290","COL","2014","6044000"
"291","COL","2015","6270000"
"292","COL","2016","7246000"
"293","COL","2017","6509000"
"294","COL","2018","5761000"
"295","COM","2009",NA
"296","COM","2012",NA
"297","COM","2014",NA
"298","COM","2017",NA
"299","CPV","2014",NA
"300","CPV","2015",NA
"301","CPV","2016",NA
"302","CRI","2008",NA
"303","CRI","2009",NA
"304","CRI","2010",NA
"305","CRI","2011",NA
"306","CRI","2012",NA
"307","CRI","2013",NA
"308","CRI","2015",NA
"309","CRI","2016",NA
"310","CRI","2017",NA
"311","CRI","2018",NA
"312","CUB","2008",NA
"313","CUB","2012",NA
"314","CUB","2015",NA
"315","CUB","2016",NA
"316","CUB","2017",NA
"317","CUB","2018",NA
"318","CYM","2008",NA
"319","CYP","2009","201000"
"320","CYP","2010","208000"
"321","CYP","2011","208000"
"322","CYP","2012","210000"
"323","CYP","2013","212000"
"324","CYP","2014","212000"
"325","CYP","2015","272000"
"326","CYP","2016","272000"
