"","OriginCountry","Year","Stock_IDMC"
"1040","RUS","2010","78000"
"1041","RUS","2011",NA
"1042","RUS","2012","29000"
"1043","RUS","2013","35000"
"1044","RUS","2014","25000"
"1045","RUS","2015","27000"
"1046","RUS","2016","19000"
"1047","RUS","2017","19000"
"1048","RUS","2018","2300"
"1049","RWA","2008",NA
"1050","RWA","2009",NA
"1051","RWA","2010",NA
"1052","RWA","2011",NA
"1053","RWA","2012",NA
"1054","RWA","2013",NA
"1055","RWA","2015",NA
"1056","RWA","2016",NA
"1057","RWA","2017",NA
"1058","RWA","2018",NA
"1059","SAU","2009",NA
"1060","SAU","2010",NA
"1061","SAU","2011",NA
"1062","SAU","2012",NA
"1063","SAU","2013",NA
"1064","SAU","2016",NA
"1065","SAU","2017",NA
"1066","SAU","2018",NA
"1067","SDN","2008",NA
"1068","SDN","2009","4900000"
"1069","SDN","2010","4800000"
"1070","SDN","2011","2200000"
"1071","SDN","2012","3000000"
"1072","SDN","2013","2427000"
"1073","SDN","2014","3100000"
"1074","SDN","2015","3182000"
"1075","SDN","2016","3300000"
"1076","SDN","2017","2072000"
"1077","SDN","2018","2072000"
"1078","SEN","2009","24000"
"1079","SEN","2010","24000"
"1080","SEN","2011","24000"
"1081","SEN","2012","22000"
"1082","SEN","2013","24000"
"1083","SEN","2014","24000"
"1084","SEN","2015","24000"
"1085","SEN","2016","24000"
"1086","SEN","2017","22000"
"1087","SEN","2018","18000"
"1088","SLB","2009",NA
"1089","SLB","2010",NA
"1090","SLB","2011",NA
"1091","SLB","2012",NA
"1092","SLB","2013",NA
"1093","SLB","2014",NA
"1094","SLB","2015",NA
"1095","SLB","2016",NA
"1096","SLB","2017",NA
"1097","SLB","2018",NA
"1098","SLE","2009",NA
"1099","SLE","2010",NA
"1100","SLE","2011",NA
"1101","SLE","2013",NA
"1102","SLE","2017",NA
"1103","SLE","2018","3000"
"1104","SLV","2008",NA
"1105","SLV","2009",NA
"1106","SLV","2010",NA
"1107","SLV","2011",NA
"1108","SLV","2013",NA
"1109","SLV","2014",NA
"1110","SLV","2015",NA
"1111","SLV","2016",NA
"1112","SLV","2017",NA
"1113","SLV","2018",NA
"1114","SOM","2008",NA
"1115","SOM","2009","1500000"
"1116","SOM","2010","1500000"
"1117","SOM","2011","1459000"
"1118","SOM","2012","1350000"
"1119","SOM","2013","1100000"
"1120","SOM","2014","1107000"
"1121","SOM","2015","1223000"
"1122","SOM","2016","1107000"
"1123","SOM","2017","825000"
"1124","SOM","2018","2648000"
"1125","SRB","2009","225000"
"1126","SRB","2010","225000"
"1127","SRB","2011","225000"
"1128","SRB","2012","225000"
"1129","SRB","2013","97000"
"1130","SRB","2014","97000"
"1131","SRB","2016",NA
"1132","SRB","2017",NA
"1133","SRB","2018",NA
"1134","SSD","2011","350000"
"1135","SSD","2012","350000"
"1136","SSD","2013","383000"
"1137","SSD","2014","1498000"
"1138","SSD","2015","1697000"
"1139","SSD","2016","1854000"
"1140","SSD","2017","1899000"
"1141","SSD","2018","1869000"
"1142","SUR","2013",NA
"1143","SUR","2017",NA
"1144","SVK","2010",NA
"1145","SVK","2018",NA
"1146","SVN","2018",NA
"1147","SWE","2014",NA
"1148","SWE","2015",NA
"1149","SWE","2018",NA
"1150","SWZ","2018",NA
"1151","SXM","2017",NA
"1152","SYC","2013",NA
"1153","SYC","2014",NA
"1154","SYC","2016",NA
"1155","SYR","2009","433000"
"1156","SYR","2010","433000"
"1157","SYR","2011","600000"
"1158","SYR","2012","3000000"
"1159","SYR","2013","6500000"
"1160","SYR","2014","7600000"
"1161","SYR","2015","6600000"
"1162","SYR","2016","6326000"
"1163","SYR","2017","6784000"
"1164","SYR","2018","6119000"
"1165","TCA","2016",NA
"1166","TCA","2017",NA
"1167","TCD","2008",NA
"1168","TCD","2009","168000"
"1169","TCD","2010","171000"
"1170","TCD","2011","126000"
"1171","TCD","2012","90000"
"1172","TCD","2013","90000"
"1173","TCD","2014","71000"
"1174","TCD","2015","107000"
"1175","TCD","2016","108000"
"1176","TCD","2017","158000"
"1177","TCD","2018","90000"
"1178","TGO","2008",NA
"1179","TGO","2009","10000"
"1180","TGO","2010","10000"
"1181","TGO","2011","10000"
"1182","TGO","2012","10000"
"1183","TGO","2013","10000"
"1184","TGO","2014","10000"
"1185","TGO","2015","3000"
"1186","TGO","2016","1500"
"1187","TGO","2017",NA
"1188","TGO","2018",NA
"1189","THA","2008",NA
"1190","THA","2009",NA
"1191","THA","2010",NA
"1192","THA","2011","35000"
"1193","THA","2012","35000"
"1194","THA","2013","35000"
"1195","THA","2014","35000"
"1196","THA","2015","35000"
"1197","THA","2016","35000"
"1198","THA","2017","41000"
"1199","THA","2018","41000"
"1200","TJK","2008",NA
"1201","TJK","2009",NA
"1202","TJK","2010",NA
"1203","TJK","2011",NA
"1204","TJK","2012",NA
"1205","TJK","2013",NA
"1206","TJK","2014",NA
"1207","TJK","2015",NA
"1208","TJK","2016",NA
"1209","TJK","2017",NA
"1210","TJK","2018",NA
"1211","TKL","2011",NA
"1212","TKM","2009","4000"
"1213","TKM","2010","4000"
"1214","TKM","2011","4000"
"1215","TKM","2012","4000"
"1216","TKM","2013","4000"
"1217","TKM","2014","4000"
"1218","TLS","2009","400"
"1219","TLS","2010","400"
"1220","TLS","2011","900"
"1221","TLS","2012","900"
"1222","TLS","2013","900"
"1223","TLS","2014","900"
"1224","TLS","2015",NA
"1225","TLS","2016",NA
"1226","TON","2009",NA
"1227","TON","2011",NA
"1228","TON","2012",NA
"1229","TON","2013",NA
"1230","TON","2014",NA
"1231","TON","2016",NA
"1232","TON","2018",NA
"1233","TTO","2013",NA
"1234","TTO","2017",NA
"1235","TTO","2018",NA
"1236","TUN","2009",NA
"1237","TUN","2013",NA
"1238","TUN","2015",NA
"1239","TUN","2017",NA
"1240","TUN","2018",NA
"1241","TUR","2008",NA
"1242","TUR","2009","1000000"
"1243","TUR","2010","1000000"
"1244","TUR","2011","1000000"
"1245","TUR","2012","1000000"
"1246","TUR","2013","954000"
"1247","TUR","2014","954000"
"1248","TUR","2015","954000"
"1249","TUR","2016","1108000"
"1250","TUR","2017","1113000"
"1251","TUR","2018","1097000"
"1252","TUV","2015",NA
"1253","TWN","2009",NA
"1254","TWN","2010",NA
"1255","TWN","2012",NA
"1256","TWN","2013",NA
"1257","TWN","2014",NA
"1258","TWN","2015",NA
"1259","TWN","2016",NA
"1260","TWN","2017",NA
"1261","TWN","2018",NA
"1262","TZA","2008",NA
"1263","TZA","2009",NA
"1264","TZA","2011",NA
"1265","TZA","2012",NA
"1266","TZA","2014",NA
"1267","TZA","2015",NA
"1268","TZA","2016",NA
"1269","TZA","2017",NA
"1270","TZA","2018",NA
"1271","UGA","2008",NA
"1272","UGA","2009","435000"
"1273","UGA","2010","166000"
"1274","UGA","2011","30000"
"1275","UGA","2012","30000"
"1276","UGA","2013","30000"
"1277","UGA","2014","30000"
"1278","UGA","2015","30000"
"1279","UGA","2016","53000"
"1280","UGA","2017","24000"
"1281","UGA","2018","32000"
"1282","UKR","2008",NA
"1283","UKR","2010",NA
"1284","UKR","2012",NA
"1285","UKR","2013",NA
"1286","UKR","2014","647000"
"1287","UKR","2015","1679000"
"1288","UKR","2016","1653000"
"1289","UKR","2017","800000"
"1290","UKR","2018","800000"
"1291","URY","2009",NA
"1292","URY","2010",NA
"1293","URY","2013",NA
"1294","URY","2014",NA
"1295","URY","2015",NA
"1296","URY","2016",NA
"1297","URY","2017",NA
"1298","URY","2018",NA
"1299","USA","2008",NA
"1300","USA","2009",NA
"1301","USA","2010",NA
"1302","USA","2011",NA
"1303","USA","2012",NA
"1304","USA","2013",NA
"1305","USA","2014",NA
"1306","USA","2015",NA
"1307","USA","2016",NA
"1308","USA","2017",NA
"1309","USA","2018",NA
"1310","UZB","2009","3400"
"1311","UZB","2010","3400"
"1312","UZB","2011","3400"
"1313","UZB","2012","3400"
"1314","UZB","2013","3400"
"1315","UZB","2014","3400"
"1316","VCT","2010",NA
"1317","VCT","2011",NA
"1318","VCT","2013",NA
"1319","VCT","2016",NA
"1320","VCT","2017",NA
"1321","VEN","2008",NA
"1322","VEN","2010",NA
"1323","VEN","2011",NA
"1324","VEN","2012",NA
"1325","VEN","2015",NA
"1326","VEN","2016",NA
"1327","VEN","2017",NA
"1328","VEN","2018",NA
"1329","VGB","2017",NA
"1330","VIR","2017",NA
"1331","VNM","2008",NA
"1332","VNM","2009",NA
"1333","VNM","2010",NA
"1334","VNM","2011",NA
"1335","VNM","2012",NA
"1336","VNM","2013",NA
"1337","VNM","2014",NA
"1338","VNM","2015",NA
"1339","VNM","2016",NA
"1340","VNM","2017",NA
"1341","VNM","2018",NA
"1342","VUT","2009",NA
"1343","VUT","2011",NA
"1344","VUT","2012",NA
"1345","VUT","2013",NA
"1346","VUT","2014",NA
"1347","VUT","2015",NA
"1348","VUT","2017",NA
"1349","VUT","2018",NA
"1350","WSM","2009",NA
"1351","WSM","2011",NA
"1352","WSM","2012",NA
"1353","WSM","2014",NA
"1354","WSM","2015",NA
"1355","WSM","2016",NA
"1356","WSM","2018",NA
"1357","XKX","2009","20000"
"1358","XKX","2010","18000"
"1359","XKX","2011","18000"
"1360","XKX","2012","18000"
"1361","XKX","2013","17000"
"1362","XKX","2014","17000"
"1363","XKX","2015","17000"
"1364","XKX","2016","17000"
"1365","XKX","2017","16000"
"1366","XKX","2018","16000"
"1367","YEM","2008",NA
"1368","YEM","2009","175000"
"1369","YEM","2010","226000"
"1370","YEM","2011","464000"
"1371","YEM","2012","385000"
"1372","YEM","2013","307000"
"1373","YEM","2014","334000"
"1374","YEM","2015","2509000"
"1375","YEM","2016","1974000"
"1376","YEM","2017","2014000"
"1377","YEM","2018","2324000"
"1378","ZAF","2008",NA
"1379","ZAF","2009",NA
"1380","ZAF","2010",NA
"1381","ZAF","2011",NA
"1382","ZAF","2012",NA
"1383","ZAF","2013",NA
"1384","ZAF","2014",NA
"1385","ZAF","2015",NA
"1386","ZAF","2016",NA
"1387","ZAF","2017",NA
"1388","ZAF","2018",NA
"1389","ZMB","2008",NA
"1390","ZMB","2009",NA
"1391","ZMB","2010",NA
"1392","ZMB","2011",NA
"1393","ZMB","2013",NA
"1394","ZMB","2014",NA
"1395","ZMB","2015",NA
"1396","ZMB","2017",NA
"1397","ZMB","2018",NA
"1398","ZWE","2009",NA
"1399","ZWE","2010",NA
"1400","ZWE","2011",NA
"1401","ZWE","2012",NA
"1402","ZWE","2013",NA
"1403","ZWE","2014",NA
"1404","ZWE","2015",NA
"1405","ZWE","2016",NA
"1406","ZWE","2017",NA
"1407","ZWE","2018",NA
