"","Year","OriginCountry","flow"
"3760",2004,"TKM",65950
"3960",2005,"TKM",72454
"4158",2006,"TKM",74335
"4354",2007,"TKM",78327
"4551",2008,"TKM",57637
"4748",2009,"TKM",60377
"4948",2010,"TKM",49980
"5148",2011,"TKM",76254
"5350",2012,"TKM",44634
"5553",2013,"TKM",75934
"5758",2014,"TKM",58465
"5969",2015,"TKM",82965
"6178",2016,"TKM",79344
"6387",2017,"TKM",12163
"6596",2018,"TKM",89795
"2785",1999,"TLS",2359
"2976",2000,"TLS",1717
"3165",2001,"TLS",12058
"3364",2002,"TLS",3399
"3564",2003,"TLS",17827
"3761",2004,"TLS",2738
"3961",2005,"TLS",4013
"4159",2006,"TLS",12169
"4355",2007,"TLS",16506
"4552",2008,"TLS",2940
"4749",2009,"TLS",0
"4949",2010,"TLS",644
"5149",2011,"TLS",2
"5351",2012,"TLS",8721
"5554",2013,"TLS",15564
"5759",2014,"TLS",11482
"5970",2015,"TLS",1675
"6179",2016,"TLS",6752
"6388",2017,"TLS",12930
"6597",2018,"TLS",412
"2229",1996,"TON",5413
"2413",1997,"TON",0
"2598",1998,"TON",-2039
"2786",1999,"TON",0
"2977",2000,"TON",12727
"3166",2001,"TON",11440
"3365",2002,"TON",18510
"3565",2003,"TON",6665
"3762",2004,"TON",22381
"3962",2005,"TON",12093
"4160",2006,"TON",12123
"4356",2007,"TON",1576
"4553",2008,"TON",16976
"4750",2009,"TON",8617
"4950",2010,"TON",10643
"5150",2011,"TON",7649
"5352",2012,"TON",-2325
"5555",2013,"TON",13993
"5760",2014,"TON",11036
"5971",2015,"TON",17842
"6180",2016,"TON",18941
"6389",2017,"TON",12940
"6598",2018,"TON",11521
"1306",1990,"TTO",2
"1426",1991,"TTO",0
"1558",1992,"TTO",0
"1701",1993,"TTO",0
"1870",1994,"TTO",875
"2047",1995,"TTO",2
"2230",1996,"TTO",5411
"2414",1997,"TTO",4026
"2599",1998,"TTO",1963
"2787",1999,"TTO",-288
"2978",2000,"TTO",6766
"3167",2001,"TTO",21874
"3366",2002,"TTO",22419
"3566",2003,"TTO",11664
"3763",2004,"TTO",6437
"3963",2005,"TTO",10364
"4161",2006,"TTO",19566
"4357",2007,"TTO",-1749
"4554",2008,"TTO",10425
"4751",2009,"TTO",9770
"4951",2010,"TTO",16104
"5151",2011,"TTO",14733
"5353",2012,"TTO",21476
"5556",2013,"TTO",15817
"5761",2014,"TTO",4575
"5972",2015,"TTO",22383
"6181",2016,"TTO",37092
"6390",2017,"TTO",21358
"6599",2018,"TTO",36908
"516",1980,"TUN",3374
"580",1981,"TUN",0
"648",1982,"TUN",0
"716",1983,"TUN",4451
"788",1984,"TUN",892
"862",1985,"TUN",0
"937",1986,"TUN",0
"1010",1987,"TUN",0
"1100",1988,"TUN",716
"1198",1989,"TUN",3374
"1307",1990,"TUN",4569
"1427",1991,"TUN",2190
"1559",1992,"TUN",11972
"1702",1993,"TUN",217
"1871",1994,"TUN",-9173
"2048",1995,"TUN",10195
"2231",1996,"TUN",22730
"2415",1997,"TUN",12317
"2600",1998,"TUN",38367
"2788",1999,"TUN",-11782
"2979",2000,"TUN",54464
"3168",2001,"TUN",100927
"3367",2002,"TUN",150105
"3567",2003,"TUN",92169
"3764",2004,"TUN",79955
"3964",2005,"TUN",94193
"4162",2006,"TUN",117239
"4358",2007,"TUN",93876
"4555",2008,"TUN",100289
"4752",2009,"TUN",116218
"4952",2010,"TUN",149946
"5152",2011,"TUN",132856
"5354",2012,"TUN",205719
"5557",2013,"TUN",233567
"5762",2014,"TUN",173744
"5973",2015,"TUN",197957
"6182",2016,"TUN",249369
"6391",2017,"TUN",161903
"6600",2018,"TUN",145708
"213",1972,"TUR",11202
"371",1977,"TUR",9434
"414",1978,"TUR",-716
"454",1979,"TUR",0
"649",1982,"TUR",5415
"717",1983,"TUR",2788
"789",1984,"TUR",-8013
"863",1985,"TUR",9694
"938",1986,"TUR",3865
"1011",1987,"TUR",-6615
"1101",1988,"TUR",-1722
"1199",1989,"TUR",4331
"1308",1990,"TUR",7392
"1428",1991,"TUR",1135
"1560",1992,"TUR",14647
"1703",1993,"TUR",9949
"1872",1994,"TUR",19750
"2049",1995,"TUR",8553
"2232",1996,"TUR",12519
"2416",1997,"TUR",15231
"2601",1998,"TUR",22806
"2789",1999,"TUR",23359
"2980",2000,"TUR",170280
"3169",2001,"TUR",139461
"3368",2002,"TUR",111757
"3568",2003,"TUR",168119
"3765",2004,"TUR",141570
"3965",2005,"TUR",172892
"4163",2006,"TUR",143369
"4359",2007,"TUR",188715
"4556",2008,"TUR",172158
"4753",2009,"TUR",161625
"4953",2010,"TUR",235989
"5153",2011,"TUR",176653
"5355",2012,"TUR",186526
"5558",2013,"TUR",184042
"5763",2014,"TUR",218915
"5974",2015,"TUR",242234
"6183",2016,"TUR",375894
"6392",2017,"TUR",439755
"6601",2018,"TUR",450548
"2050",1995,"TUV",5413
"2233",1996,"TUV",0
"2417",1997,"TUV",0
"2602",1998,"TUV",0
"2790",1999,"TUV",0
"2981",2000,"TUV",0
"3170",2001,"TUV",2
"3369",2002,"TUV",2
"3569",2003,"TUV",0
"3766",2004,"TUV",0
"4164",2006,"TUV",5413
"4360",2007,"TUV",-2039
"4557",2008,"TUV",0
"5154",2011,"TUV",4
"5356",2012,"TUV",6777
"5559",2013,"TUV",6
"5764",2014,"TUV",3378
"5975",2015,"TUV",2
"6184",2016,"TUV",2
"6393",2017,"TUV",-2
"6602",2018,"TUV",0
"269",1974,"TZA",14374
"338",1976,"TZA",10640
"372",1977,"TZA",-5225
"415",1978,"TZA",0
"455",1979,"TZA",2416
"517",1980,"TZA",-2414
"581",1981,"TZA",1
"650",1982,"TZA",2411
"718",1983,"TZA",0
"790",1984,"TZA",0
"864",1985,"TZA",-7827
"1012",1987,"TZA",3377
"1102",1988,"TZA",4448
"1200",1989,"TZA",6775
"1309",1990,"TZA",-1362
"1429",1991,"TZA",2250
"1561",1992,"TZA",-4963
"1704",1993,"TZA",3613
"1873",1994,"TZA",2222
"2051",1995,"TZA",6072
"2234",1996,"TZA",-146
"2418",1997,"TZA",4343
"2603",1998,"TZA",14787
"2791",1999,"TZA",24658
"2982",2000,"TZA",72955
"3171",2001,"TZA",103791
"3370",2002,"TZA",79605
"3570",2003,"TZA",77881
"3767",2004,"TZA",81461
"3966",2005,"TZA",79747
"4165",2006,"TZA",79845
"4361",2007,"TZA",85992
"4558",2008,"TZA",74123
"4754",2009,"TZA",123370
"4954",2010,"TZA",81319
"5155",2011,"TZA",149712
"5357",2012,"TZA",186265
"5560",2013,"TZA",185242
"5765",2014,"TZA",165578
"5976",2015,"TZA",194000
"6185",2016,"TZA",140041
"6394",2017,"TZA",106481
"6603",2018,"TZA",80087
"239",1973,"UGA",10908
"270",1974,"UGA",-575
"306",1975,"UGA",-2618
"339",1976,"UGA",12188
"373",1977,"UGA",4183
"416",1978,"UGA",915
"456",1979,"UGA",16403
"518",1980,"UGA",5702
"582",1981,"UGA",-9893
"651",1982,"UGA",-2476
"719",1983,"UGA",10559
"791",1984,"UGA",-1905
"865",1985,"UGA",-4986
"939",1986,"UGA",-11745
"1013",1987,"UGA",10312
"1103",1988,"UGA",10581
"1201",1989,"UGA",-690
"1310",1990,"UGA",-2303
"1430",1991,"UGA",20637
"1562",1992,"UGA",2426
"1705",1993,"UGA",43963
"1874",1994,"UGA",22650
"2052",1995,"UGA",-40126
"2235",1996,"UGA",8650
"2419",1997,"UGA",22577
"2604",1998,"UGA",11476
"2792",1999,"UGA",-1274
"2983",2000,"UGA",103031
"3172",2001,"UGA",112323
"3371",2002,"UGA",153770
"3571",2003,"UGA",155859
"3768",2004,"UGA",175402
"3967",2005,"UGA",148167
"4166",2006,"UGA",125739
"4362",2007,"UGA",165381
"4559",2008,"UGA",181802
"4755",2009,"UGA",201414
"4955",2010,"UGA",162744
"5156",2011,"UGA",261239
"5358",2012,"UGA",189659
"5561",2013,"UGA",197935
"5766",2014,"UGA",247035
"5977",2015,"UGA",228598
"6186",2016,"UGA",227111
"6395",2017,"UGA",163765
"6604",2018,"UGA",144207
"1563",1992,"UKR",19060
"1706",1993,"UKR",5329
"1875",1994,"UKR",19418
"2053",1995,"UKR",-1538
"2236",1996,"UKR",48553
"2420",1997,"UKR",-4462
"2605",1998,"UKR",19738
"2793",1999,"UKR",47414
"2984",2000,"UKR",44742
"3173",2001,"UKR",101497
"3372",2002,"UKR",111755
"3572",2003,"UKR",115532
"3769",2004,"UKR",115480
"3968",2005,"UKR",81395
"4167",2006,"UKR",168950
"4363",2007,"UKR",131197
"4560",2008,"UKR",117593
"4756",2009,"UKR",146396
"4956",2010,"UKR",107042
"5157",2011,"UKR",127064
"5359",2012,"UKR",151551
"5562",2013,"UKR",183038
"5767",2014,"UKR",358748
"5978",2015,"UKR",320585
"6187",2016,"UKR",342944
"6396",2017,"UKR",207343
"6605",2018,"UKR",275863
"271",1974,"URY",5416
"307",1975,"URY",3045
"340",1976,"URY",-7782
"519",1980,"URY",4297
"583",1981,"URY",0
"652",1982,"URY",8035
"720",1983,"URY",-7827
"792",1984,"URY",1598
"866",1985,"URY",18851
"940",1986,"URY",-17417
"1014",1987,"URY",-875
"1104",1988,"URY",5191
"1202",1989,"URY",2414
"1311",1990,"URY",7399
"1431",1991,"URY",10281
"1564",1992,"URY",-4708
"1707",1993,"URY",-5611
"1876",1994,"URY",-1392
"2054",1995,"URY",2097
"2237",1996,"URY",-2103
"2421",1997,"URY",-8731
"2606",1998,"URY",5214
"2794",1999,"URY",-11168
"2985",2000,"URY",13754
"3174",2001,"URY",21028
"3373",2002,"URY",51982
"3573",2003,"URY",24177
"3770",2004,"URY",10974
"3969",2005,"URY",23922
"4168",2006,"URY",-3954
"4364",2007,"URY",9113
"4561",2008,"URY",14324
"4757",2009,"URY",13299
"4957",2010,"URY",17938
"5158",2011,"URY",23987
"5360",2012,"URY",4193
"5563",2013,"URY",-398
"5768",2014,"URY",19729
"5979",2015,"URY",26868
"6188",2016,"URY",43863
"6397",2017,"URY",30114
"6606",2018,"URY",19267
"1312",1990,"USA",2
"1432",1991,"USA",10073
"1565",1992,"USA",3374
"1708",1993,"USA",-10072
"1877",1994,"USA",6242
"2055",1995,"USA",-2092
"2238",1996,"USA",-2449
"2422",1997,"USA",12974
"2607",1998,"USA",-2322
"2795",1999,"USA",172
"2986",2000,"USA",17710
"3175",2001,"USA",34941
"3374",2002,"USA",24841
"3574",2003,"USA",24656
"3771",2004,"USA",12875
"3970",2005,"USA",23228
"4169",2006,"USA",32116
"4365",2007,"USA",27700
"4562",2008,"USA",47232
"4758",2009,"USA",53450
"4958",2010,"USA",72403
"5159",2011,"USA",84945
"5361",2012,"USA",52667
"5564",2013,"USA",68846
"5769",2014,"USA",75608
"5980",2015,"USA",114728
"6189",2016,"USA",93708
"6398",2017,"USA",81863
"6607",2018,"USA",66957
"1709",1993,"UZB",3374
"1878",1994,"UZB",9692
"2056",1995,"UZB",8872
"2239",1996,"UZB",15193
"2423",1997,"UZB",6097
"2608",1998,"UZB",17079
"2796",1999,"UZB",-16417
"2987",2000,"UZB",64078
"3176",2001,"UZB",117138
"3375",2002,"UZB",129887
"3575",2003,"UZB",106788
"3772",2004,"UZB",136592
"3971",2005,"UZB",157111
"4170",2006,"UZB",204051
"4366",2007,"UZB",206251
"4563",2008,"UZB",138927
"4759",2009,"UZB",159182
"4959",2010,"UZB",203649
"5160",2011,"UZB",146435
"5362",2012,"UZB",150708
"5565",2013,"UZB",154583
"5770",2014,"UZB",225313
"5981",2015,"UZB",200648
"6190",2016,"UZB",170436
"6399",2017,"UZB",121215
"6608",2018,"UZB",130156
"3773",2004,"VAT",3374
"4367",2007,"VAT",5413
"4564",2008,"VAT",5413
"6609",2018,"VAT",1
"1879",1994,"VCT",9433
"2057",1995,"VCT",0
"2240",1996,"VCT",-8178
"2424",1997,"VCT",0
"2609",1998,"VCT",3042
"2797",1999,"VCT",2014
"2988",2000,"VCT",11288
"3177",2001,"VCT",4270
"3376",2002,"VCT",12203
"3576",2003,"VCT",458
"3774",2004,"VCT",13007
"3972",2005,"VCT",11796
"4171",2006,"VCT",10613
"4368",2007,"VCT",10308
"4565",2008,"VCT",10422
"4760",2009,"VCT",940
"4960",2010,"VCT",7490
"5161",2011,"VCT",360
"5363",2012,"VCT",20663
"5566",2013,"VCT",8923
"5771",2014,"VCT",26012
"5982",2015,"VCT",5787
"6191",2016,"VCT",26835
"6400",2017,"VCT",-1605
"6610",2018,"VCT",9827
"1433",1991,"VEN",2
"1566",1992,"VEN",6773
"1710",1993,"VEN",1258
"1880",1994,"VEN",7756
"2058",1995,"VEN",6554
"2241",1996,"VEN",750
"2425",1997,"VEN",-4588
"2610",1998,"VEN",4472
"2798",1999,"VEN",2171
"2989",2000,"VEN",8455
"3178",2001,"VEN",-3452
"3377",2002,"VEN",37412
"3577",2003,"VEN",66455
"3775",2004,"VEN",40804
"3973",2005,"VEN",55658
"4172",2006,"VEN",61002
"4369",2007,"VEN",104088
"4566",2008,"VEN",50760
"4761",2009,"VEN",78633
"4961",2010,"VEN",100791
"5162",2011,"VEN",94128
"5364",2012,"VEN",133653
"5567",2013,"VEN",99378
"5772",2014,"VEN",119746
"5983",2015,"VEN",174170
"6192",2016,"VEN",187523
"6401",2017,"VEN",271786
"6611",2018,"VEN",369349
"5773",2014,"VGB",2
"25",1964,"VNM",6
"39",1965,"VNM",1909
"56",1966,"VNM",644
"74",1967,"VNM",819
"96",1968,"VNM",489
"121",1969,"VNM",0
"150",1970,"VNM",-489
"308",1975,"VNM",11029
"341",1976,"VNM",5339
"374",1977,"VNM",14389
"417",1978,"VNM",36825
"457",1979,"VNM",-3605
"520",1980,"VNM",-11733
"584",1981,"VNM",8647
"653",1982,"VNM",16333
"721",1983,"VNM",-11331
"793",1984,"VNM",-3133
"867",1985,"VNM",20789
"941",1986,"VNM",8383
"1015",1987,"VNM",-8767
"1105",1988,"VNM",-19931
"1203",1989,"VNM",15770
"1313",1990,"VNM",-7659
"1434",1991,"VNM",1313
"1567",1992,"VNM",9967
"1711",1993,"VNM",67336
"1881",1994,"VNM",17261
"2059",1995,"VNM",-15153
"2242",1996,"VNM",20135
"2426",1997,"VNM",23935
"2611",1998,"VNM",9475
"2799",1999,"VNM",26805
"2990",2000,"VNM",56704
"3179",2001,"VNM",61763
"3378",2002,"VNM",110882
"3578",2003,"VNM",152080
"3776",2004,"VNM",110354
"3974",2005,"VNM",128856
"4173",2006,"VNM",187304
"4370",2007,"VNM",126705
"4567",2008,"VNM",152638
"4762",2009,"VNM",136415
"4962",2010,"VNM",134525
"5163",2011,"VNM",168435
"5365",2012,"VNM",138643
"5568",2013,"VNM",108217
"5774",2014,"VNM",186441
"5984",2015,"VNM",170108
"6193",2016,"VNM",124253
"6402",2017,"VNM",121077
"6612",2018,"VNM",103794
"2991",2000,"VUT",3374
"3180",2001,"VUT",2
"4763",2009,"VUT",4
"4963",2010,"VUT",6
"5164",2011,"VUT",4
"5366",2012,"VUT",0
"5569",2013,"VUT",0
"5775",2014,"VUT",0
"5985",2015,"VUT",2
"6194",2016,"VUT",2
"6403",2017,"VUT",19506
"6613",2018,"VUT",7223
"5776",2014,"WLF",2
"5986",2015,"WLF",2
"6195",2016,"WLF",2
"1882",1994,"WSM",2
"2427",1997,"WSM",2
"2612",1998,"WSM",0
"2800",1999,"WSM",0
"2992",2000,"WSM",4
"3181",2001,"WSM",10077
"3379",2002,"WSM",6777
"3579",2003,"WSM",6777
"3777",2004,"WSM",2
"3975",2005,"WSM",3376
"4174",2006,"WSM",8787
"4371",2007,"WSM",-2037
"4568",2008,"WSM",3401
"4764",2009,"WSM",2
"4964",2010,"WSM",3376
"5165",2011,"WSM",0
"5367",2012,"WSM",17434
"5570",2013,"WSM",12807
"5777",2014,"WSM",12809
"5987",2015,"WSM",3822
"6196",2016,"WSM",17974
"6404",2017,"WSM",3
"6614",2018,"WSM",7005
"418",1978,"YEM",1915
"458",1979,"YEM",0
"521",1980,"YEM",2
"585",1981,"YEM",-1915
"654",1982,"YEM",0
"722",1983,"YEM",0
"794",1984,"YEM",0
"868",1985,"YEM",0
"942",1986,"YEM",7
"1016",1987,"YEM",9430
"1106",1988,"YEM",466
"1204",1989,"YEM",3374
"1314",1990,"YEM",-2078
"1435",1991,"YEM",14042
"1568",1992,"YEM",-16195
"1712",1993,"YEM",4970
"1883",1994,"YEM",37351
"2060",1995,"YEM",10504
"2243",1996,"YEM",-3866
"2428",1997,"YEM",28837
"2613",1998,"YEM",-1205
"2801",1999,"YEM",12851
"2993",2000,"YEM",65606
"3182",2001,"YEM",68531
"3380",2002,"YEM",53161
"3580",2003,"YEM",95869
"3778",2004,"YEM",87322
"3976",2005,"YEM",50294
"4175",2006,"YEM",107142
"4372",2007,"YEM",98204
"4569",2008,"YEM",112639
"4765",2009,"YEM",116620
"4965",2010,"YEM",84207
"5166",2011,"YEM",196643
"5368",2012,"YEM",242573
"5571",2013,"YEM",219081
"5778",2014,"YEM",249042
"5988",2015,"YEM",424205
"6197",2016,"YEM",340982
"6405",2017,"YEM",297808
"6615",2018,"YEM",379624
"57",1966,"ZAF",6663
"75",1967,"ZAF",655
"97",1968,"ZAF",5302
"122",1969,"ZAF",-7372
"151",1970,"ZAF",25086
"182",1971,"ZAF",-2468
"214",1972,"ZAF",-12465
"240",1973,"ZAF",-3826
"272",1974,"ZAF",8317
"309",1975,"ZAF",24943
"342",1976,"ZAF",106
"375",1977,"ZAF",12304
"419",1978,"ZAF",-11070
"459",1979,"ZAF",-11477
"522",1980,"ZAF",12541
"586",1981,"ZAF",-11110
"655",1982,"ZAF",12
"723",1983,"ZAF",7832
"795",1984,"ZAF",13320
"869",1985,"ZAF",-1213
"943",1986,"ZAF",-18739
"1017",1987,"ZAF",1392
"1107",1988,"ZAF",21239
"1205",1989,"ZAF",-8153
"1315",1990,"ZAF",11499
"1436",1991,"ZAF",-7762
"1569",1992,"ZAF",8434
"1713",1993,"ZAF",30693
"1884",1994,"ZAF",-147
"2061",1995,"ZAF",-17012
"2244",1996,"ZAF",4681
"2429",1997,"ZAF",-14923
"2614",1998,"ZAF",-6581
"2802",1999,"ZAF",-2660
"2994",2000,"ZAF",34647
"3183",2001,"ZAF",57877
"3381",2002,"ZAF",57708
"3581",2003,"ZAF",39154
"3779",2004,"ZAF",44296
"3977",2005,"ZAF",26503
"4176",2006,"ZAF",53860
"4373",2007,"ZAF",70886
"4570",2008,"ZAF",99971
"4766",2009,"ZAF",91451
"4966",2010,"ZAF",92196
"5167",2011,"ZAF",63040
"5369",2012,"ZAF",82541
"5572",2013,"ZAF",117604
"5779",2014,"ZAF",60123
"5989",2015,"ZAF",120968
"6198",2016,"ZAF",110995
"6406",2017,"ZAF",96122
"6616",2018,"ZAF",120185
"98",1968,"ZMB",1915
"123",1969,"ZMB",-657
"152",1970,"ZMB",9384
"183",1971,"ZMB",-873
"215",1972,"ZMB",0
"241",1973,"ZMB",0
"273",1974,"ZMB",-2991
"310",1975,"ZMB",2991
"343",1976,"ZMB",0
"460",1979,"ZMB",5
"523",1980,"ZMB",917
"587",1981,"ZMB",-45
"656",1982,"ZMB",0
"724",1983,"ZMB",0
"1108",1988,"ZMB",2
"1206",1989,"ZMB",0
"1316",1990,"ZMB",0
"1437",1991,"ZMB",0
"1570",1992,"ZMB",3344
"1714",1993,"ZMB",-1163
"1885",1994,"ZMB",-269
"2062",1995,"ZMB",6055
"2245",1996,"ZMB",7189
"2430",1997,"ZMB",-5452
"2615",1998,"ZMB",2403
"2803",1999,"ZMB",10248
"2995",2000,"ZMB",29721
"3184",2001,"ZMB",19020
"3382",2002,"ZMB",17618
"3582",2003,"ZMB",45914
"3780",2004,"ZMB",36059
"3978",2005,"ZMB",25978
"4177",2006,"ZMB",7134
"4374",2007,"ZMB",16799
"4571",2008,"ZMB",41222
"4767",2009,"ZMB",41476
"4967",2010,"ZMB",44876
"5168",2011,"ZMB",36956
"5370",2012,"ZMB",68638
"5573",2013,"ZMB",65267
"5780",2014,"ZMB",75139
"5990",2015,"ZMB",84642
"6199",2016,"ZMB",22719
"6407",2017,"ZMB",42466
"6617",2018,"ZMB",39867
"311",1975,"ZWE",30637
"344",1976,"ZWE",-23894
"376",1977,"ZWE",13378
"420",1978,"ZWE",100
"461",1979,"ZWE",-9364
"524",1980,"ZWE",-8588
"588",1981,"ZWE",836
"725",1983,"ZWE",5725
"796",1984,"ZWE",784
"870",1985,"ZWE",552
"944",1986,"ZWE",8664
"1018",1987,"ZWE",-1369
"1109",1988,"ZWE",-23
"1207",1989,"ZWE",-8920
"1317",1990,"ZWE",2
"1438",1991,"ZWE",5536
"1571",1992,"ZWE",-874
"1715",1993,"ZWE",8795
"1886",1994,"ZWE",3541
"2063",1995,"ZWE",3635
"2246",1996,"ZWE",4060
"2431",1997,"ZWE",-27387
"2616",1998,"ZWE",1240
"2804",1999,"ZWE",3372
"2996",2000,"ZWE",48639
"3185",2001,"ZWE",52430
"3383",2002,"ZWE",82552
"3583",2003,"ZWE",142073
"3781",2004,"ZWE",146922
"3979",2005,"ZWE",76946
"4178",2006,"ZWE",113966
"4375",2007,"ZWE",139350
"4572",2008,"ZWE",120358
"4768",2009,"ZWE",191412
"4968",2010,"ZWE",162893
"5169",2011,"ZWE",150656
"5371",2012,"ZWE",134971
"5574",2013,"ZWE",184319
"5781",2014,"ZWE",168088
"5991",2015,"ZWE",149994
"6200",2016,"ZWE",154672
"6408",2017,"ZWE",132028
"6618",2018,"ZWE",125121
