"","OriginCountry","Year","Size"
"1061","BDI",1988,7337
"1062","BEN",1988,7826
"1063","BGD",1988,10149
"1064","BGR",1988,16379
"1065","BOL",1988,4
"1066","BRA",1988,2
"1067","CAF",1988,2557
"1068","CHL",1988,9794
"1069","CHN",1988,9234
"1070","CIV",1988,2
"1071","COD",1988,66697
"1072","COL",1988,6177
"1073","CUB",1988,23161
"1074","CYP",1988,448
"1075","CZE",1988,14630
"1076","DZA",1988,6777
"1077","EGY",1988,18464
"1078","ERI",1988,1356
"1079","ESH",1988,2429
"1080","ETH",1988,69228
"1081","GHA",1988,24124
"1082","GIN",1988,7826
"1083","GMB",1988,2
"1084","GNB",1988,11198
"1085","GRC",1988,8717
"1086","GRD",1988,10639
"1087","GTM",1988,47040
"1088","GUY",1988,3374
"1089","HND",1988,2
"1090","HTI",1988,8776
"1091","HUN",1988,21508
"1092","IDN",1988,19487
"1093","IND",1988,13550
"1094","IRN",1988,64356
"1095","IRQ",1988,48812
"1096","ISR",1988,5415
"1097","JOR",1988,9435
"1098","KEN",1988,3374
"1099","KHM",1988,39418
"1100","LAO",1988,35443
"1101","LBN",1988,4864
"1102","LBR",1988,20102
"1103","LBY",1988,20424
"1104","LKA",1988,36111
"1105","MAR",1988,5413
"1106","MDV",1988,2
"1107","MLT",1988,2
"1108","MMR",1988,9433
"1109","MOZ",1988,42626
"1110","MRT",1988,3374
"1111","MWI",1988,6775
"1112","NAM",1988,52851
"1113","NGA",1988,5416
"1114","NIC",1988,57031
"1115","PAK",1988,12625
"1116","PAN",1988,7537
"1117","PER",1988,5415
"1118","PHL",1988,10643
"1119","POL",1988,30613
"1120","PSE",1988,9425
"1121","ROU",1988,39966
"1122","RUS",1988,18858
"1123","RWA",1988,28017
"1124","SDN",1988,27806
"1125","SEN",1988,7825
"1126","SGP",1988,10075
"1127","SLE",1988,10075
"1128","SLV",1988,56410
"1129","SOM",1988,42728
"1130","SRB",1988,23624
"1131","Stateless",1988,18998
"1132","SYC",1988,11103
"1133","SYR",1988,30050
"1134","TCD",1988,55633
"1135","TGO",1988,7825
"1136","TIB",1988,2204
"1137","TUN",1988,9433
"1138","TUR",1988,5412
"1139","TZA",1988,7825
"1140","UGA",1988,47553
"1141","URY",1988,11853
"1142","Various/Unknown",1988,415385
"1143","VNM",1988,63234
"1144","YEM",1988,9905
"1145","ZAF",1988,59972
"1146","ZMB",1988,2
"1147","ZWE",1988,14333
"1148","AFG",1989,51818
"1149","AGO",1989,38396
"1150","ALB",1989,14867
"1151","ARG",1989,13024
"1152","ARM",1989,2
"1153","BDI",1989,15405
"1154","BEN",1989,8722
"1155","BFA",1989,3374
"1156","BGD",1989,10149
"1157","BGR",1989,27425
"1158","BOL",1989,4710
"1159","BRA",1989,8717
"1160","BWA",1989,5413
"1161","CAF",1989,5574
"1162","CHL",1989,37214
"1163","CHN",1989,22925
"1164","CIV",1989,2
"1165","CMR",1989,8718
"1166","COD",1989,67342
"1167","COL",1989,9096
"1168","COM",1989,7825
"1169","CUB",1989,30511
"1170","CYP",1989,448
"1171","CZE",1989,43804
"1172","DZA",1989,8789
"1173","EGY",1989,17900
"1174","ERI",1989,7108
"1175","ESH",1989,6269
"1176","ETH",1989,75038
"1177","GHA",1989,38998
"1178","GIN",1989,7826
"1179","GMB",1989,2
"1180","GNB",1989,11207
"1181","GRC",1989,8717
"1182","GRD",1989,7825
"1183","GTM",1989,38175
"1184","GUY",1989,3374
"1185","HND",1989,6777
"1186","HTI",1989,10204
"1187","HUN",1989,27976
"1188","IDN",1989,18632
"1189","IND",1989,16852
"1190","IRN",1989,51980
"1191","IRQ",1989,43664
"1192","ISR",1989,5415
"1193","JOR",1989,18868
"1194","KEN",1989,3374
"1195","KHM",1989,28188
"1196","LAO",1989,45618
"1197","LBN",1989,23188
"1198","LBR",1989,23804
"1199","LBY",1989,23335
"1200","LKA",1989,22416
"1201","LSO",1989,6775
"1202","MAR",1989,7827
"1203","MDV",1989,2
"1204","MLT",1989,2
"1205","MMR",1989,6748
"1206","MOZ",1989,45418
"1207","MRT",1989,11036
"1208","MWI",1989,6775
"1209","NAM",1989,23225
"1210","NGA",1989,6778
"1211","NIC",1989,57968
"1212","PAK",1989,21429
"1213","PAN",1989,6379
"1214","PER",1989,4710
"1215","PHL",1989,10643
"1216","POL",1989,37352
"1217","PSE",1989,24188
"1218","ROU",1989,36075
"1219","RUS",1989,29180
"1220","RWA",1989,32332
"1221","SDN",1989,55602
"1222","SEN",1989,10632
"1223","SGP",1989,5413
"1224","SLE",1989,10077
"1225","SLV",1989,89426
"1226","SOM",1989,54710
"1227","SRB",1989,26707
"1228","Stateless",1989,26971
"1229","SUR",1989,9167
"1230","SYC",1989,11103
"1231","SYR",1989,12019
"1232","TCD",1989,64570
"1233","TGO",1989,7827
"1234","THA",1989,3374
"1235","TIB",1989,2509
"1236","TUN",1989,12807
"1237","TUR",1989,9743
"1238","TZA",1989,14600
"1239","UGA",1989,46863
"1240","URY",1989,14267
"1241","Various/Unknown",1989,421487
"1242","VNM",1989,79004
"1243","YEM",1989,13279
"1244","ZAF",1989,51819
"1245","ZMB",1989,2
"1246","ZWE",1989,5413
"1247","AFG",1990,46714
"1248","AGO",1990,39576
"1249","ALB",1990,36747
"1250","ARG",1990,25709
"1251","ARM",1990,2
"1252","BDI",1990,18834
"1253","BEN",1990,4
"1254","BFA",1990,3374
"1255","BGD",1990,26345
"1256","BGR",1990,47367
"1257","BHR",1990,6662
"1258","BOL",1990,14177
"1259","BRA",1990,6778
"1260","BWA",1990,5413
"1261","CAF",1990,4
"1262","CHL",1990,43712
"1263","CHN",1990,34196
"1264","CIV",1990,4
"1265","CMR",1990,4
"1266","COD",1990,58495
"1267","COG",1990,3374
"1268","COL",1990,28941
"1269","COM",1990,6775
"1270","CUB",1990,44056
"1271","CYP",1990,448
"1272","CZE",1990,39146
"1273","DJI",1990,7825
"1274","DZA",1990,10044
"1275","ECU",1990,5413
"1276","EGY",1990,28853
"1277","ERI",1990,7108
"1278","ESH",1990,2429
"1279","ETH",1990,62520
"1280","FJI",1990,2
"1281","GBR",1990,2
"1282","GHA",1990,39101
"1283","GMB",1990,5415
"1284","GNB",1990,11205
"1285","GRC",1990,2268
"1286","GRD",1990,6775
"1287","GTM",1990,43694
"1288","GUY",1990,3374
"1289","HND",1990,24677
"1290","HTI",1990,9354
"1291","HUN",1990,20805
"1292","IDN",1990,23871
"1293","IND",1990,12892
"1294","IRN",1990,83434
"1295","IRQ",1990,54943
"1296","ISR",1990,19430
"1297","JOR",1990,22560
"1298","KEN",1990,12809
"1299","KHM",1990,31679
"1300","KWT",1990,12300
"1301","LAO",1990,41915
"1302","LBN",1990,30397
"1303","LBR",1990,61815
"1304","LBY",1990,30046
"1305","LKA",1990,21001
"1306","LSO",1990,6775
"1307","LTU",1990,6775
"1308","MAR",1990,18466
"1309","MDV",1990,2
"1310","MLI",1990,2
"1311","MLT",1990,2
"1312","MMR",1990,8451
"1313","MNG",1990,2
"1314","MOZ",1990,47008
"1315","MRT",1990,12750
"1316","MWI",1990,13239
"1317","NAM",1990,33328
"1318","NGA",1990,7830
"1319","NIC",1990,53856
"1320","PAK",1990,29270
"1321","PAN",1990,10101
"1322","PER",1990,11699
"1323","PHL",1990,15492
"1324","POL",1990,36254
"1325","PRY",1990,3104
"1326","PSE",1990,16947
"1327","ROU",1990,39112
"1328","RUS",1990,41408
"1329","RWA",1990,29656
"1330","SDN",1990,55823
"1331","SEN",1990,17438
"1332","SLE",1990,10077
"1333","SLV",1990,80409
"1334","SOM",1990,93071
"1335","SRB",1990,33187
"1336","Stateless",1990,33136
"1337","STP",1990,2
"1338","SUR",1990,12271
"1339","SYC",1990,11931
"1340","SYR",1990,23189
"1341","TCD",1990,58998
"1342","TGO",1990,7827
"1343","THA",1990,6218
"1344","TIB",1990,2783
"1345","TTO",1990,2
"1346","TUN",1990,17376
"1347","TUR",1990,17135
"1348","TZA",1990,13238
"1349","UGA",1990,44560
"1350","URY",1990,21666
"1351","USA",1990,2
"1352","Various/Unknown",1990,463708
"1353","VNM",1990,71345
"1354","YEM",1990,11201
"1355","ZAF",1990,63318
"1356","ZMB",1990,2
"1357","ZWE",1990,5415
"1358","AFG",1991,47750
"1359","AGO",1991,52300
"1360","ALB",1991,22940
"1361","ARG",1991,27984
"1362","ARM",1991,2
"1363","BDI",1991,18209
"1364","BEN",1991,3378
"1365","BFA",1991,12091
"1366","BGD",1991,25914
"1367","BGR",1991,24438
"1368","BHR",1991,17747
"1369","BOL",1991,8463
"1370","BRA",1991,448
"1371","BTN",1991,10912
"1372","BWA",1991,5413
"1373","CAF",1991,5724
"1374","CAN",1991,6775
"1375","CHL",1991,38101
"1376","CHN",1991,13967
"1377","CIV",1991,5416
"1378","CMR",1991,2
"1379","COD",1991,77494
"1380","COG",1991,6775
"1381","COL",1991,21750
"1382","COM",1991,3374
"1383","CRI",1991,2
"1384","CUB",1991,39336
"1385","CZE",1991,23796
"1386","DEU",1991,6775
"1387","DJI",1991,3
"1388","DZA",1991,13243
"1389","ECU",1991,4902
"1390","EGY",1991,33645
"1391","ERI",1991,23572
"1392","ESH",1991,2429
"1393","EST",1991,3374
"1394","ETH",1991,70958
"1395","FJI",1991,2
"1396","GBR",1991,2
"1397","GHA",1991,53469
"1398","GIN",1991,4
"1399","GMB",1991,5863
"1400","GNB",1991,16618
"1401","GNQ",1991,8718
"1402","GRC",1991,8717
"1403","GRD",1991,6775
"1404","GTM",1991,34499
"1405","GUY",1991,2
"1406","HND",1991,15050
"1407","HTI",1991,9251
"1408","HUN",1991,29367
"1409","IDN",1991,21122
"1410","IND",1991,15695
"1411","IRN",1991,87518
"1412","IRQ",1991,65957
"1413","ISR",1991,17653
"1414","JOR",1991,36958
"1415","KEN",1991,17104
"1416","KHM",1991,35857
"1417","KOR",1991,7825
"1418","KWT",1991,12617
"1419","LAO",1991,43329
"1420","LBN",1991,34650
"1421","LBR",1991,83516
"1422","LBY",1991,26723
"1423","LKA",1991,27998
"1424","LSO",1991,6775
"1425","LTU",1991,6775
"1426","MAR",1991,19379
"1427","MDG",1991,2
"1428","MDV",1991,2
"1429","MLI",1991,8594
"1430","MLT",1991,2
"1431","MMR",1991,31567
"1432","MNG",1991,2
"1433","MOZ",1991,51276
"1434","MRT",1991,20625
"1435","MWI",1991,7826
"1436","MYS",1991,5413
"1437","NAM",1991,26921
"1438","NER",1991,3374
"1439","NGA",1991,17263
"1440","NIC",1991,54482
"1441","PAK",1991,22500
"1442","PAN",1991,12499
"1443","PER",1991,23184
"1444","PHL",1991,6780
"1445","POL",1991,44474
"1446","PRY",1991,10075
"1447","PSE",1991,27998
"1448","ROU",1991,46241
"1449","RUS",1991,37181
"1450","RWA",1991,45361
"1451","SDN",1991,80516
"1452","SEN",1991,19710
"1453","SLE",1991,17175
"1454","SLV",1991,67958
"1455","SOM",1991,121807
"1456","SRB",1991,56122
"1457","Stateless",1991,31535
"1458","STP",1991,2
"1459","SUR",1991,11741
"1460","SYC",1991,12609
"1461","SYR",1991,31924
"1462","TCD",1991,53067
"1463","TGO",1991,8702
"1464","THA",1991,5249
"1465","TIB",1991,3053
"1466","TTO",1991,2
"1467","TUN",1991,19566
"1468","TUR",1991,18270
"1469","TZA",1991,15488
"1470","UGA",1991,65197
"1471","URY",1991,31947
"1472","USA",1991,10075
"1473","Various/Unknown",1991,517209
"1474","VEN",1991,2
"1475","VNM",1991,72658
"1476","YEM",1991,25243
"1477","ZAF",1991,55556
"1478","ZMB",1991,2
"1479","ZWE",1991,10951
"1480","AFG",1992,62272
"1481","AGO",1992,58666
"1482","ALB",1992,40394
"1483","ARG",1992,40814
"1484","ARM",1992,6618
"1485","AZE",1992,5418
"1486","BDI",1992,24077
"1487","BEN",1992,3378
"1488","BFA",1992,25330
"1489","BGD",1992,37316
"1490","BGR",1992,28400
"1491","BHR",1992,17843
"1492","BIH",1992,26430
"1493","BOL",1992,19098
"1494","BRA",1992,448
"1495","BTN",1992,9797
"1496","BWA",1992,5413
"1497","CAF",1992,5793
"1498","CAN",1992,6775
"1499","CHL",1992,49431
"1500","CHN",1992,39683
"1501","CIV",1992,24996
"1502","CMR",1992,17237
"1503","COD",1992,73138
"1504","COG",1992,9433
"1505","COL",1992,36280
"1506","COM",1992,3374
"1507","CPV",1992,2
"1508","CRI",1992,6777
"1509","CUB",1992,45720
"1510","CZE",1992,45131
"1511","DEU",1992,6775
"1512","DJI",1992,5
"1513","DZA",1992,16861
"1514","ECU",1992,6548
"1515","EGY",1992,27006
"1516","ERI",1992,16571
"1517","ESH",1992,2429
"1518","EST",1992,8633
"1519","ETH",1992,110452
"1520","FJI",1992,3104
"1521","GAB",1992,2556
"1522","GBR",1992,2
"1523","GHA",1992,70748
"1524","GIN",1992,23448
"1525","GMB",1992,16502
"1526","GNB",1992,19992
"1527","GNQ",1992,23319
"1528","GRC",1992,2
"1529","GRD",1992,2
"1530","GTM",1992,33763
"1531","GUF",1992,7825
"1532","GUY",1992,4
"1533","HKG",1992,3374
"1534","HND",1992,11949
"1535","HRV",1992,4928
"1536","HTI",1992,49492
"1537","HUN",1992,34647
"1538","IDN",1992,10822
"1539","IND",1992,41025
"1540","IRN",1992,70708
"1541","IRQ",1992,62331
"1542","ISR",1992,27758
"1543","ITA",1992,2
"1544","JOR",1992,41160
"1545","KAZ",1992,2
"1546","KEN",1992,21643
"1547","KHM",1992,52584
"1548","KOR",1992,7825
"1549","KWT",1992,23100
"1550","LAO",1992,48266
"1551","LBN",1992,33157
"1552","LBR",1992,97948
"1553","LBY",1992,35113
"1554","LKA",1992,46011
"1555","LTU",1992,13238
"1556","LVA",1992,6775
"1557","MAR",1992,28837
"1558","MDG",1992,2
"1559","MLI",1992,38412
"1560","MLT",1992,2
"1561","MMR",1992,30675
"1562","MNG",1992,2
"1563","MOZ",1992,48171
"1564","MRT",1992,27093
"1565","MWI",1992,7826
"1566","MYS",1992,5415
"1567","NAM",1992,22847
"1568","NER",1992,15958
"1569","NGA",1992,18602
"1570","NIC",1992,49597
"1571","NPL",1992,2
"1572","PAK",1992,32024
"1573","PAN",1992,21233
"1574","PER",1992,19289
"1575","PHL",1992,5507
"1576","POL",1992,46123
"1577","PRY",1992,14600
"1578","PSE",1992,31840
"1579","ROU",1992,47331
"1580","RUS",1992,39155
"1581","RWA",1992,60747
"1582","SDN",1992,91539
"1583","SEN",1992,18904
"1584","SGP",1992,2
"1585","SLE",1992,27675
"1586","SLV",1992,73652
"1587","SOM",1992,131536
"1588","SRB",1992,74012
"1589","Stateless",1992,23693
"1590","STP",1992,2
"1591","SUR",1992,16958
"1592","SYC",1992,11394
"1593","SYR",1992,41285
"1594","TCD",1992,37784
"1595","TGO",1992,23276
"1596","THA",1992,9244
"1597","TIB",1992,3321
"1598","TJK",1992,18796
"1599","TTO",1992,2
"1600","TUN",1992,31538
"1601","TUR",1992,32917
"1602","TZA",1992,10525
"1603","UGA",1992,67623
"1604","UKR",1992,19060
"1605","URY",1992,27239
"1606","USA",1992,13449
"1607","Various/Unknown",1992,601578
"1608","VEN",1992,6775
"1609","VNM",1992,82625
"1610","YEM",1992,9048
"1611","ZAF",1992,63990
"1612","ZMB",1992,3346
"1613","ZWE",1992,10077
"1614","AFG",1993,140926
"1615","AGO",1993,124843
"1616","ALB",1993,50195
"1617","ARG",1993,38060
"1618","ARM",1993,42598
"1619","AZE",1993,23621
"1620","BDI",1993,103444
"1621","BEN",1993,23648
"1622","BFA",1993,31602
"1623","BGD",1993,48613
"1624","BGR",1993,67146
"1625","BHR",1993,9118
"1626","BIH",1993,127031
"1627","BLR",1993,3374
"1628","BOL",1993,19651
"1629","BRA",1993,14015
"1630","BTN",1993,10399
"1631","BWA",1993,5415
"1632","CAF",1993,26876
"1633","CAN",1993,6775
"1634","CHL",1993,88368
"1635","CHN",1993,84147
"1636","CIV",1993,31022
"1637","CMR",1993,56248
"1638","COD",1993,153580
"1639","COG",1993,12811
"1640","COL",1993,71054
"1641","COM",1993,3374
"1642","CPV",1993,2
"1643","CRI",1993,6777
"1644","CUB",1993,97703
"1645","CYP",1993,4820
"1646","CZE",1993,66921
"1647","DEU",1993,10075
"1648","DJI",1993,4713
"1649","DOM",1993,2
"1650","DZA",1993,22951
"1651","ECU",1993,18736
"1652","EGY",1993,45595
"1653","ERI",1993,34940
"1654","ESH",1993,2429
"1655","EST",1993,10907
"1656","ETH",1993,183614
"1657","FJI",1993,10592
"1658","GAB",1993,2558
"1659","GBR",1993,3374
"1660","GEO",1993,16807
"1661","GHA",1993,115292
"1662","GIN",1993,40954
"1663","GMB",1993,17309
"1664","GNB",1993,22406
"1665","GNQ",1993,17741
"1666","GRC",1993,2
"1667","GTM",1993,56251
"1668","GUF",1993,7825
"1669","GUY",1993,8
"1670","HKG",1993,3374
"1671","HND",1993,32217
"1672","HRV",1993,74060
"1673","HTI",1993,67854
"1674","HUN",1993,81545
"1675","IDN",1993,34375
"1676","IND",1993,54616
"1677","IRN",1993,156419
"1678","IRQ",1993,185156
"1679","ISR",1993,30708
"1680","ITA",1993,3376
"1681","JAM",1993,5413
"1682","JOR",1993,36494
"1683","KAZ",1993,4
"1684","KEN",1993,39705
"1685","KGZ",1993,2
"1686","KHM",1993,63654
"1687","KOR",1993,11199
"1688","KWT",1993,41566
"1689","LAO",1993,62475
"1690","LBN",1993,45122
"1691","LBR",1993,136471
"1692","LBY",1993,49044
"1693","LKA",1993,108358
"1694","LSO",1993,8276
"1695","LTU",1993,18651
"1696","LVA",1993,6775
"1697","MAR",1993,30686
"1698","MDA",1993,8789
"1699","MDG",1993,2
"1700","MKD",1993,6463
"1701","MLI",1993,59262
"1702","MMR",1993,49117
"1703","MNG",1993,2
"1704","MOZ",1993,54915
"1705","MRT",1993,40118
"1706","MWI",1993,15154
"1707","MYS",1993,5415
"1708","NAM",1993,41159
"1709","NER",1993,38021
"1710","NGA",1993,35950
"1711","NIC",1993,68141
"1712","NPL",1993,2
"1713","PAK",1993,54867
"1714","PAN",1993,41894
"1715","PER",1993,66431
"1716","PHL",1993,22170
"1717","POL",1993,88740
"1718","PRY",1993,23387
"1719","PSE",1993,124252
"1720","ROU",1993,82747
"1721","RUS",1993,76740
"1722","RWA",1993,125079
"1723","SAU",1993,10151
"1724","SDN",1993,161087
"1725","SEN",1993,33597
"1726","SGP",1993,2
"1727","SLE",1993,47878
"1728","SLV",1993,96190
"1729","SOM",1993,260405
"1730","SRB",1993,156737
"1731","Stateless",1993,45594
"1732","STP",1993,2
"1733","SUR",1993,21715
"1734","SVN",1993,5158
"1735","SWZ",1993,2
"1736","SYC",1993,4904
"1737","SYR",1993,82159
"1738","TCD",1993,64891
"1739","TGO",1993,51913
"1740","THA",1993,9246
"1741","TIB",1993,3972
"1742","TJK",1993,34547
"1743","TTO",1993,2
"1744","TUN",1993,31755
"1745","TUR",1993,42866
"1746","TZA",1993,14138
"1747","UGA",1993,111586
"1748","UKR",1993,24389
"1749","URY",1993,21628
"1750","USA",1993,3377
"1751","UZB",1993,3374
"1752","Various/Unknown",1993,353545
"1753","VEN",1993,8033
"1754","VNM",1993,149961
"1755","YEM",1993,14018
"1756","ZAF",1993,94683
"1757","ZMB",1993,2183
"1758","ZWE",1993,18872
"1759","AFG",1994,173917
"1760","AGO",1994,123518
"1761","ALB",1994,58774
"1762","AND",1994,4
"1763","ARG",1994,48878
"1764","ARM",1994,84394
"1765","AUS",1994,3374
"1766","AUT",1994,8718
"1767","AZE",1994,48286
"1768","BDI",1994,121154
"1769","BEL",1994,3374
"1770","BEN",1994,15411
"1771","BFA",1994,39171
"1772","BGD",1994,64157
"1773","BGR",1994,67661
"1774","BHR",1994,11030
"1775","BIH",1994,183302
"1776","BLR",1994,14847
"1777","BLZ",1994,10075
"1778","BOL",1994,49812
"1779","BRA",1994,22318
"1780","BRB",1994,5415
"1781","BTN",1994,10305
"1782","BWA",1994,7971
"1783","CAF",1994,31034
"1784","CAN",1994,6775
"1785","CHE",1994,10075
"1786","CHL",1994,100096
"1787","CHN",1994,76426
"1788","CIV",1994,36299
"1789","CMR",1994,49010
"1790","COD",1994,182304
"1791","COG",1994,27263
"1792","COL",1994,45945
"1793","COM",1994,8787
"1794","CPV",1994,2
"1795","CRI",1994,11616
"1796","CUB",1994,127862
"1797","CYP",1994,13537
"1798","CZE",1994,68807
"1799","DEU",1994,17293
"1800","DJI",1994,11132
"1801","DNK",1994,448
"1802","DOM",1994,9920
"1803","DZA",1994,65535
"1804","ECU",1994,13557
"1805","EGY",1994,63092
"1806","ERI",1994,48612
"1807","ESH",1994,4316
"1808","ESP",1994,7004
"1809","EST",1994,3608
"1810","ETH",1994,196300
"1811","FJI",1994,7338
"1812","FRA",1994,3375
"1813","GAB",1994,10381
"1814","GBR",1994,3652
"1815","GEO",1994,60497
"1816","GHA",1994,88394
"1817","GIN",1994,44188
"1818","GMB",1994,8352
"1819","GNB",1994,30229
"1820","GNQ",1994,33340
"1821","GRC",1994,10807
"1822","GRD",1994,5413
"1823","GTM",1994,67921
"1824","GUF",1994,7825
"1825","GUY",1994,9370
"1826","HKG",1994,11393
"1827","HND",1994,43519
"1828","HRV",1994,80152
"1829","HTI",1994,73323
"1830","HUN",1994,71968
"1831","IDN",1994,45512
"1832","IND",1994,70783
"1833","IRL",1994,5413
"1834","IRN",1994,188673
"1835","IRQ",1994,241303
"1836","ISR",1994,44506
"1837","ITA",1994,10285
"1838","JAM",1994,12188
"1839","JOR",1994,27993
"1840","JPN",1994,9433
"1841","KAZ",1994,4303
"1842","KEN",1994,59579
"1843","KGZ",1994,1257
"1844","KHM",1994,34935
"1845","KOR",1994,25083
"1846","KWT",1994,42992
"1847","LAO",1994,60592
"1848","LBN",1994,48530
"1849","LBR",1994,157111
"1850","LBY",1994,51215
"1851","LKA",1994,108076
"1852","LTU",1994,28912
"1853","LVA",1994,32944
"1854","MAR",1994,40712
"1855","MDA",1994,27561
"1856","MDG",1994,6
"1857","MEX",1994,14917
"1858","MKD",1994,24449
"1859","MLI",1994,77505
"1860","MLT",1994,9433
"1861","MMR",1994,65365
"1862","MNG",1994,3378
"1863","MOZ",1994,71293
"1864","MRT",1994,37353
"1865","MUS",1994,2
"1866","MWI",1994,17778
"1867","MYS",1994,15376
"1868","NAM",1994,31734
"1869","NER",1994,36186
"1870","NGA",1994,46608
"1871","NIC",1994,73486
"1872","NLD",1994,9768
"1873","NOR",1994,3374
"1874","NPL",1994,5415
"1875","OMN",1994,5413
"1876","PAK",1994,71848
"1877","PAN",1994,45436
"1878","PER",1994,74887
"1879","PHL",1994,18722
"1880","POL",1994,69130
"1881","PRI",1994,875
"1882","PRK",1994,3376
"1883","PRT",1994,4505
"1884","PRY",1994,23174
"1885","PSE",1994,154822
"1886","QAT",1994,7729
"1887","ROU",1994,87789
"1888","RUS",1994,105331
"1889","RWA",1994,182104
"1890","SAU",1994,13905
"1891","SDN",1994,173448
"1892","SEN",1994,44613
"1893","SGP",1994,10077
"1894","SLE",1994,51649
"1895","SLV",1994,94150
"1896","SOM",1994,301396
"1897","SRB",1994,118412
"1898","Stateless",1994,56419
"1899","STP",1994,5082
"1900","SUR",1994,16264
"1901","SVK",1994,17434
"1902","SVN",1994,6864
"1903","SWE",1994,448
"1904","SWZ",1994,452
"1905","SYC",1994,12600
"1906","SYR",1994,78448
"1907","TCD",1994,67525
"1908","TGO",1994,74802
"1909","THA",1994,21402
"1910","TIB",1994,4111
"1911","TJK",1994,26507
"1912","TKM",1994,9433
"1913","TTO",1994,877
"1914","TUN",1994,22582
"1915","TUR",1994,62616
"1916","TZA",1994,16360
"1917","UGA",1994,134236
"1918","UKR",1994,43807
"1919","URY",1994,20236
"1920","USA",1994,9619
"1921","UZB",1994,13066
"1922","Various/Unknown",1994,408391
"1923","VCT",1994,9433
"1924","VEN",1994,15789
"1925","VNM",1994,167222
"1926","WSM",1994,2
"1927","YEM",1994,51369
"1928","ZAF",1994,94536
"1929","ZMB",1994,1914
"1930","ZWE",1994,22413
"1931","AFG",1995,185662
"1932","AGO",1995,107445
"1933","ALB",1995,59170
"1934","AND",1995,4
"1935","ARG",1995,41341
"1936","ARM",1995,113604
"1937","AUS",1995,2
"1938","AUT",1995,7729
"1939","AZE",1995,49641
"1940","BDI",1995,188299
"1941","BEL",1995,5413
"1942","BEN",1995,10250
"1943","BFA",1995,36285
"1944","BGD",1995,78931
"1945","BGR",1995,59019
"1946","BHR",1995,9566
"1947","BIH",1995,157368
"1948","BLR",1995,30753
"1949","BLZ",1995,10075
"1950","BOL",1995,33510
"1951","BRA",1995,17359
"1952","BRB",1995,3376
"1953","BRN",1995,5413
"1954","BTN",1995,15684
"1955","BWA",1995,9277
"1956","CAF",1995,24788
"1957","CAN",1995,6775
"1958","CHE",1995,4902
"1959","CHL",1995,58850
"1960","CHN",1995,82985
"1961","CIV",1995,32535
"1962","CMR",1995,78789
"1963","COD",1995,188714
"1964","COG",1995,17707
"1965","COL",1995,70066
"1966","COM",1995,16924
"1967","CPV",1995,2
"1968","CRI",1995,11320
"1969","CUB",1995,119215
"1970","CYP",1995,15459
"1971","CZE",1995,77487
"1972","DEU",1995,19957
"1973","DJI",1995,15821
"1974","DNK",1995,2844
"1975","DOM",1995,9922
"1976","DZA",1995,86272
"1977","ECU",1995,14400
"1978","EGY",1995,48974
"1979","ERI",1995,69587
"1980","ESH",1995,2429
"1981","ESP",1995,14680
"1982","EST",1995,9842
"1983","ETH",1995,233803
"1984","FIN",1995,2
"1985","FJI",1995,8287
"1986","FRA",1995,1599
"1987","GAB",1995,15794
"1988","GBR",1995,12471
"1989","GEO",1995,60035
"1990","GHA",1995,102935
"1991","GIN",1995,54846
"1992","GMB",1995,33856
"1993","GNB",1995,33561
"1994","GNQ",1995,33121
"1995","GRC",1995,11965
"1996","GRD",1995,8717
"1997","GTM",1995,60077
"1998","GUF",1995,7825
"1999","GUY",1995,8639
"2000","HKG",1995,6816
"2001","HND",1995,38629
"2002","HRV",1995,70097
"2003","HTI",1995,64207
"2004","HUN",1995,57422
"2005","IDN",1995,43905
"2006","IND",1995,71334
"2007","IRL",1995,3374
"2008","IRN",1995,208790
"2009","IRQ",1995,241520
"2010","ISR",1995,35973
"2011","ITA",1995,9347
"2012","JAM",1995,15492
"2013","JOR",1995,38239
"2014","JPN",1995,5413
"2015","KAZ",1995,10009
"2016","KEN",1995,66939
"2017","KGZ",1995,10318
"2018","KHM",1995,76976
"2019","KOR",1995,25624
"2020","KWT",1995,56289
"2021","LAO",1995,53722
"2022","LBN",1995,65508
"2023","LBR",1995,156862
"2024","LBY",1995,59521
"2025","LCA",1995,3374
"2026","LKA",1995,140255
"2027","LTU",1995,29468
"2028","LVA",1995,32899
"2029","MAR",1995,42189
"2030","MDA",1995,31078
"2031","MDG",1995,9904
"2032","MEX",1995,13452
"2033","MKD",1995,23176
"2034","MLI",1995,53422
"2035","MLT",1995,1255
"2036","MMR",1995,98619
"2037","MNG",1995,3378
"2038","MOZ",1995,67886
"2039","MRT",1995,51317
"2040","MTQ",1995,2
"2041","MUS",1995,877
"2042","MWI",1995,18144
"2043","MYS",1995,20411
"2044","NAM",1995,17260
"2045","NER",1995,32243
"2046","NGA",1995,100600
"2047","NIC",1995,58767
"2048","NLD",1995,16915
"2049","NOR",1995,2
"2050","NPL",1995,19168
"2051","OMN",1995,10641
"2052","PAK",1995,67403
"2053","PAN",1995,25389
"2054","PER",1995,87291
"2055","PHL",1995,26243
"2056","PNG",1995,3377
"2057","POL",1995,58208
"2058","PRI",1995,875
"2059","PRK",1995,6754
"2060","PRT",1995,7459
"2061","PRY",1995,29496
"2062","PSE",1995,108808
"2063","QAT",1995,5414
"2064","ROU",1995,58255
"2065","RUS",1995,108578
"2066","RWA",1995,277665
