"","OriginCountry","Year","Size"
"208","BDI",1972,23601
"209","BGR",1972,6035
"210","BOL",1972,19662
"211","BRA",1972,3377
"212","CHN",1972,9771
"213","COD",1972,21327
"214","CUB",1972,34699
"215","CZE",1972,9434
"216","ESP",1972,9095
"217","ETH",1972,11550
"218","GNB",1972,10199
"219","GRC",1972,19285
"220","HUN",1972,11332
"221","KHM",1972,8279
"222","MMR",1972,17263
"223","MOZ",1972,17594
"224","MWI",1972,1917
"225","NAM",1972,26293
"226","POL",1972,1598
"227","ROU",1972,10640
"228","RUS",1972,1913
"229","RWA",1972,22569
"230","SDN",1972,19827
"231","SRB",1972,1256
"232","TCD",1972,1914
"233","TIB",1972,18605
"234","TUR",1972,11202
"235","Various/Unknown",1972,254086
"236","ZAF",1972,15401
"237","ZMB",1972,9769
"238","AGO",1973,17817
"239","ALB",1973,9221
"240","BDI",1973,28355
"241","BGR",1973,6035
"242","COD",1973,30768
"243","CZE",1973,8718
"244","ESP",1973,15158
"245","ETH",1973,7473
"246","GNB",1973,10322
"247","GRC",1973,17590
"248","HUN",1973,20716
"249","KHM",1973,6180
"250","MOZ",1973,15524
"251","MWI",1973,4
"252","NAM",1973,22416
"253","POL",1973,4
"254","ROU",1973,10640
"255","RUS",1973,449
"256","RWA",1973,26581
"257","SDN",1973,29368
"258","SRB",1973,1256
"259","TCD",1973,1914
"260","TIB",1973,18703
"261","UGA",1973,10908
"262","Various/Unknown",1973,150920
"263","ZAF",1973,11575
"264","ZMB",1973,9769
"265","AGO",1974,15766
"266","ALB",1974,6545
"267","BDI",1974,23705
"268","BGR",1974,5415
"269","BOL",1974,3827
"270","CHL",1974,13337
"271","COD",1974,24220
"272","CUB",1974,22172
"273","CZE",1974,7826
"274","ESP",1974,3628
"275","ETH",1974,7752
"276","GNB",1974,10643
"277","GNQ",1974,5
"278","GRC",1974,8558
"279","HTI",1974,5
"280","HUN",1974,19510
"281","LSO",1974,449
"282","MOZ",1974,9629
"283","MWI",1974,10076
"284","NAM",1974,23132
"285","POL",1974,9434
"286","ROU",1974,9434
"287","RUS",1974,10076
"288","RWA",1974,27013
"289","SDN",1974,17251
"290","SRB",1974,876
"291","TIB",1974,18850
"292","TZA",1974,14374
"293","UGA",1974,10333
"294","URY",1974,5416
"295","Various/Unknown",1974,181620
"296","ZAF",1974,19892
"297","ZMB",1974,6778
"298","AGO",1975,31336
"299","ALB",1975,6545
"300","BDI",1975,14483
"301","BGR",1975,5415
"302","BOL",1975,10640
"303","CHL",1975,16631
"304","COD",1975,28920
"305","COG",1975,449
"306","CZE",1975,7826
"307","ESH",1975,3378
"308","ESP",1975,1598
"309","ETH",1975,16559
"310","GIN",1975,5418
"311","GNB",1975,7439
"312","GNQ",1975,14138
"313","GRC",1975,7924
"314","HUN",1975,18868
"315","KEN",1975,10640
"316","KHM",1975,3064
"317","LAO",1975,8328
"318","LSO",1975,3981
"319","MOZ",1975,22023
"320","MWI",1975,20396
"321","NAM",1975,8377
"322","POL",1975,8718
"323","ROU",1975,9434
"324","RUS",1975,9434
"325","RWA",1975,35675
"326","SDN",1975,451
"327","SOM",1975,449
"328","SRB",1975,876
"329","TIB",1975,10198
"330","UGA",1975,7715
"331","URY",1975,8461
"332","Various/Unknown",1975,173650
"333","VNM",1975,11029
"334","ZAF",1975,44835
"335","ZMB",1975,9769
"336","ZWE",1975,30637
"337","AGO",1976,13467
"338","BDI",1976,13817
"339","BEN",1976,4
"340","BOL",1976,8718
"341","CHL",1976,18503
"342","COD",1976,27255
"343","ESH",1976,6180
"344","ESP",1976,16036
"345","ETH",1976,18635
"346","GIN",1976,7830
"347","GNB",1976,6438
"348","GNQ",1976,14138
"349","GRC",1976,7318
"350","HUN",1976,7826
"351","KHM",1976,3035
"352","LAO",1976,8951
"353","MOZ",1976,8574
"354","MWI",1976,8718
"355","NAM",1976,38690
"356","POL",1976,7826
"357","PSE",1976,5725
"358","RUS",1976,8718
"359","RWA",1976,32274
"360","SDN",1976,280
"361","SOM",1976,7826
"362","TIB",1976,10260
"363","TZA",1976,10640
"364","UGA",1976,19903
"365","URY",1976,679
"366","Various/Unknown",1976,170156
"367","VNM",1976,16368
"368","ZAF",1976,44941
"369","ZMB",1976,9769
"370","ZWE",1976,6743
"371","AGO",1977,14451
"372","ALB",1977,3377
"373","ARM",1977,7205
"374","BDI",1977,11774
"375","CHL",1977,3382
"376","COD",1977,28935
"377","CYP",1977,9435
"378","ESH",1977,7829
"379","ETH",1977,45830
"380","GIN",1977,3828
"381","GNB",1977,7828
"382","GNQ",1977,16060
"383","GRC",1977,6888
"384","KEN",1977,877
"385","KHM",1977,12856
"386","LAO",1977,10019
"387","LSO",1977,10640
"388","MOZ",1977,876
"389","MWI",1977,10912
"390","NAM",1977,38464
"391","PHL",1977,10643
"392","RUS",1977,7826
"393","RWA",1977,33416
"394","SDN",1977,386
"395","SOM",1977,8718
"396","TIB",1977,10321
"397","TUR",1977,9434
"398","TZA",1977,5415
"399","UGA",1977,24086
"400","Various/Unknown",1977,244818
"401","VNM",1977,30757
"402","ZAF",1977,57245
"403","ZWE",1977,20121
"404","AGO",1978,19080
"405","ALB",1978,8742
"406","ARM",1978,7005
"407","BDI",1978,11528
"408","BEN",1978,3376
"409","BGR",1978,5248
"410","CHL",1978,4638
"411","COD",1978,39034
"412","DOM",1978,7826
"413","EGY",1978,7826
"414","ESH",1978,7829
"415","ETH",1978,62230
"416","GNB",1978,7828
"417","GNQ",1978,14138
"418","GRC",1978,6545
"419","HTI",1978,5415
"420","HUN",1978,17260
"421","IDN",1978,5
"422","IRQ",1978,8368
"423","KEN",1978,10076
"424","KHM",1978,4707
"425","LAO",1978,841
"426","LSO",1978,2269
"427","MMR",1978,2272
"428","MOZ",1978,1256
"429","MWI",1978,13224
"430","NAM",1978,21714
"431","NIC",1978,18120
"432","PHL",1978,10744
"433","POL",1978,7826
"434","ROU",1978,8718
"435","RUS",1978,7826
"436","RWA",1978,34691
"437","SDN",1978,386
"438","SOM",1978,10640
"439","SRB",1978,17730
"440","TIB",1978,10376
"441","TUR",1978,8718
"442","TZA",1978,5415
"443","UGA",1978,25001
"444","Various/Unknown",1978,256677
"445","VNM",1978,67582
"446","YEM",1978,1915
"447","ZAF",1978,46175
"448","ZWE",1978,20221
"449","AFG",1979,6787
"450","AGO",1979,18734
"451","ALB",1979,2306
"452","ARM",1979,12192
"453","BDI",1979,11764
"454","BEN",1979,3376
"455","CHL",1979,4638
"456","COD",1979,33433
"457","CUB",1979,6267
"458","ERI",1979,6777
"459","ESH",1979,7829
"460","ETH",1979,44159
"461","GNB",1979,7828
"462","GNQ",1979,5423
"463","GRC",1979,6312
"464","HTI",1979,5872
"465","IDN",1979,5
"466","IRQ",1979,5422
"467","KEN",1979,10076
"468","KHM",1979,17233
"469","LAO",1979,1214
"470","LSO",1979,2269
"471","MOZ",1979,5382
"472","MWI",1979,16097
"473","NAM",1979,24534
"474","NIC",1979,22233
"475","PHL",1979,10643
"476","RWA",1979,36033
"477","SDN",1979,386
"478","SOM",1979,10640
"479","SYR",1979,7827
"480","TCD",1979,10088
"481","TIB",1979,10437
"482","TUR",1979,8718
"483","TZA",1979,7831
"484","UGA",1979,41404
"485","Various/Unknown",1979,262213
"486","VNM",1979,63977
"487","YEM",1979,1915
"488","ZAF",1979,34698
"489","ZMB",1979,5
"490","ZWE",1979,10857
"491","AFG",1980,19987
"492","AGO",1980,16813
"493","ALB",1980,11825
"494","ARG",1980,6544
"495","ARM",1980,11285
"496","BDI",1980,5763
"497","BGR",1980,5858
"498","BOL",1980,2557
"499","BRA",1980,7825
"500","CHL",1980,7755
"501","CHN",1980,4297
"502","COD",1980,39437
"503","COG",1980,8717
"504","CUB",1980,30405
"505","CZE",1980,6693
"506","DOM",1980,2
"507","DZA",1980,3374
"508","EGY",1980,3374
"509","ERI",1980,8438
"510","ESH",1980,7829
"511","ESP",1980,7825
"512","ETH",1980,78328
"513","GHA",1980,3374
"514","GNB",1980,11202
"515","GNQ",1980,6227
"516","GRC",1980,6035
"517","GTM",1980,9769
"518","HTI",1980,6546
"519","HUN",1980,9852
"520","IDN",1980,5
"521","IRN",1980,7638
"522","IRQ",1980,16488
"523","KHM",1980,21712
"524","LAO",1980,15055
"525","LBY",1980,3515
"526","LSO",1980,9434
"527","LTU",1980,2
"528","MOZ",1980,876
"529","MWI",1980,15612
"530","NAM",1980,16983
"531","NIC",1980,10965
"532","PHL",1980,10643
"533","POL",1980,14840
"534","ROU",1980,9914
"535","RUS",1980,368
"536","RWA",1980,27223
"537","SDN",1980,3760
"538","SLV",1980,47392
"539","SOM",1980,6038
"540","SRB",1980,4903
"541","Stateless",1980,10075
"542","SYR",1980,11201
"543","TCD",1980,16673
"544","TIB",1980,10491
"545","TUN",1980,3374
"546","TZA",1980,5417
"547","UGA",1980,47106
"548","URY",1980,4297
"549","Various/Unknown",1980,239321
"550","VNM",1980,52244
"551","YEM",1980,1917
"552","ZAF",1980,47239
"553","ZMB",1980,922
"554","ZWE",1980,2269
"555","AFG",1981,20448
"556","AGO",1981,27251
"557","ALB",1981,11740
"558","ARG",1981,6544
"559","ARM",1981,11285
"560","BDI",1981,8821
"561","BGR",1981,4981
"562","BOL",1981,6
"563","BRA",1981,7825
"564","CHL",1981,14038
"565","CHN",1981,4297
"566","COD",1981,42807
"567","COG",1981,8717
"568","COL",1981,7826
"569","CUB",1981,10317
"570","CZE",1981,6651
"571","DOM",1981,2
"572","DZA",1981,5413
"573","EGY",1981,6775
"574","ERI",1981,5914
"575","ESH",1981,2429
"576","ESP",1981,5413
"577","ETH",1981,77165
"578","GHA",1981,3374
"579","GNB",1981,10152
"580","GNQ",1981,2849
"581","GRC",1981,5724
"582","GTM",1981,7778
"583","HTI",1981,7828
"584","HUN",1981,9729
"585","IDN",1981,1913
"586","IRN",1981,19842
"587","IRQ",1981,18956
"588","KHM",1981,34719
"589","LAO",1981,18440
"590","LBY",1981,3996
"591","LSO",1981,10076
"592","LTU",1981,2
"593","MOZ",1981,10385
"594","MWI",1981,9434
"595","NAM",1981,28443
"596","NIC",1981,11204
"597","PHL",1981,10643
"598","POL",1981,7874
"599","ROU",1981,10403
"600","RUS",1981,700
"601","RWA",1981,23844
"602","SDN",1981,11534
"603","SLV",1981,19357
"604","SOM",1981,6034
"605","SRB",1981,3721
"606","Stateless",1981,5247
"607","SYR",1981,14602
"608","TCD",1981,29261
"609","TIB",1981,10536
"610","TUN",1981,3374
"611","TZA",1981,5418
"612","UGA",1981,37213
"613","URY",1981,4297
"614","Various/Unknown",1981,226496
"615","VNM",1981,60891
"616","YEM",1981,2
"617","ZAF",1981,36129
"618","ZMB",1981,877
"619","ZWE",1981,3105
"620","AFG",1982,37672
"621","AGO",1982,25290
"622","ALB",1982,11937
"623","ARG",1982,17729
"624","ARM",1982,18062
"625","BDI",1982,8087
"626","BGR",1982,4645
"627","BOL",1982,20388
"628","BRA",1982,7825
"629","CAF",1982,1915
"630","CHL",1982,6596
"631","CHN",1982,14373
"632","COD",1982,48894
"633","COG",1982,8717
"634","COL",1982,4
"635","CUB",1982,23530
"636","CZE",1982,15868
"637","DOM",1982,2
"638","DZA",1982,5413
"639","EGY",1982,7825
"640","ERI",1982,7239
"641","ESH",1982,2429
"642","ESP",1982,11200
"643","ETH",1982,86292
"644","GHA",1982,7199
"645","GIN",1982,7826
"646","GNB",1982,11202
"647","GNQ",1982,2849
"648","GRC",1982,5415
"649","GTM",1982,28529
"650","HTI",1982,7828
"651","HUN",1982,9632
"652","IDN",1982,3866
"653","IRN",1982,41099
"654","IRQ",1982,15351
"655","KHM",1982,53956
"656","LAO",1982,34210
"657","LBN",1982,11713
"658","LBY",1982,4684
"659","LTU",1982,2
"660","MOZ",1982,6754
"661","MWI",1982,4298
"662","NAM",1982,36512
"663","NIC",1982,11469
"664","PAK",1982,2
"665","PHL",1982,10643
"666","POL",1982,27799
"667","PSE",1982,11068
"668","ROU",1982,14102
"669","RUS",1982,705
"670","RWA",1982,16610
"671","SDN",1982,11534
"672","SLV",1982,21880
"673","SOM",1982,16620
"674","SRB",1982,2756
"675","Stateless",1982,5723
"676","SYR",1982,14602
"677","TCD",1982,26191
"678","TIB",1982,11068
"679","TUN",1982,3374
"680","TUR",1982,5415
"681","TZA",1982,7829
"682","UGA",1982,34737
"683","URY",1982,12332
"684","Various/Unknown",1982,261699
"685","VNM",1982,77224
"686","YEM",1982,2
"687","ZAF",1982,36141
"688","ZMB",1982,877
"689","AFG",1983,49025
"690","AGO",1983,14016
"691","ALB",1983,12620
"692","ARG",1983,7004
"693","ARM",1983,11285
"694","BDI",1983,8221
"695","BGR",1983,4020
"696","BOL",1983,2
"697","BRA",1983,7825
"698","CHL",1983,12130
"699","CHN",1983,4297
"700","COD",1983,22735
"701","COG",1983,8717
"702","CUB",1983,30802
"703","CZE",1983,7014
"704","DOM",1983,2
"705","DZA",1983,5413
"706","EGY",1983,8717
"707","ERI",1983,3863
"708","ESH",1983,2429
"709","ESP",1983,14204
"710","ETH",1983,101797
"711","GHA",1983,12299
"712","GNB",1983,11202
"713","GNQ",1983,2
"714","GRC",1983,5079
"715","GTM",1983,20026
"716","HTI",1983,11914
"717","HUN",1983,8776
"718","IDN",1983,1002
"719","IRN",1983,65817
"720","IRQ",1983,16286
"721","JOR",1983,3374
"722","KHM",1983,45616
"723","LAO",1983,27717
"724","LBN",1983,15572
"725","LBY",1983,4994
"726","LTU",1983,2
"727","MAR",1983,2
"728","MOZ",1983,11205
"729","MWI",1983,7205
"730","NAM",1983,31872
"731","NIC",1983,18648
"732","PAK",1983,2
"733","PHL",1983,7
"734","POL",1983,27360
"735","PSE",1983,10699
"736","ROU",1983,23671
"737","RUS",1983,708
"738","RWA",1983,17183
"739","SDN",1983,8950
"740","SLV",1983,25605
"741","SOM",1983,6662
"742","SRB",1983,2168
"743","Stateless",1983,5723
"744","SYC",1983,3374
"745","SYR",1983,16738
"746","TCD",1983,29579
"747","TIB",1983,360
"748","TUN",1983,7825
"749","TUR",1983,8203
"750","TZA",1983,7829
"751","UGA",1983,45296
"752","URY",1983,4505
"753","Various/Unknown",1983,300408
"754","VNM",1983,65893
"755","YEM",1983,2
"756","ZAF",1983,43973
"757","ZMB",1983,877
"758","ZWE",1983,5725
"759","AFG",1984,51255
"760","AGO",1984,24787
"761","ALB",1984,2096
"762","ARG",1984,7004
"763","ARM",1984,11285
"764","BDI",1984,8488
"765","BFA",1984,7826
"766","BGR",1984,2932
"767","BOL",1984,2
"768","BRA",1984,7825
"769","CHL",1984,14894
"770","CHN",1984,4297
"771","COD",1984,35047
"772","COG",1984,8717
"773","CUB",1984,26039
"774","CZE",1984,14670
"775","DOM",1984,2
"776","DZA",1984,5413
"777","EGY",1984,8717
"778","ERI",1984,3863
"779","ESH",1984,2429
"780","ESP",1984,12092
"781","ETH",1984,78206
"782","GHA",1984,19387
"783","GIN",1984,9434
"784","GNB",1984,11210
"785","GNQ",1984,2
"786","GRC",1984,4707
"787","GTM",1984,19323
"788","HTI",1984,13528
"789","HUN",1984,7109
"790","IDN",1984,9862
"791","IRN",1984,54948
"792","IRQ",1984,6682
"793","JOR",1984,5413
"794","KHM",1984,24642
"795","LAO",1984,26565
"796","LBN",1984,14135
"797","LBY",1984,5269
"798","LTU",1984,2
"799","MAR",1984,2
"800","MOZ",1984,10768
"801","MRT",1984,2
"802","MWI",1984,7205
"803","NAM",1984,33143
"804","NIC",1984,32271
"805","PAK",1984,2
"806","PHL",1984,7
"807","POL",1984,15234
"808","ROU",1984,20622
"809","RUS",1984,710
"810","RWA",1984,8417
"811","SDN",1984,14940
"812","SLV",1984,34987
"813","SOM",1984,14493
"814","SRB",1984,10692
"815","Stateless",1984,6173
"816","SYC",1984,3374
"817","SYR",1984,18660
"818","TCD",1984,45259
"819","TGO",1984,2
"820","TIB",1984,796
"821","TUN",1984,8717
"822","TUR",1984,190
"823","TZA",1984,7829
"824","UGA",1984,43391
"825","URY",1984,6103
"826","Various/Unknown",1984,308130
"827","VNM",1984,62760
"828","YEM",1984,2
"829","ZAF",1984,57293
"830","ZWE",1984,6509
"831","AFG",1985,61211
"832","AGO",1985,15955
"833","ALB",1985,2167
"834","ARG",1985,7923
"835","ARM",1985,11285
"836","BDI",1985,9341
"837","BFA",1985,10640
"838","BGR",1985,3105
"839","BOL",1985,2
"840","BRA",1985,7825
"841","CHL",1985,57909
"842","CHN",1985,4301
"843","COD",1985,44377
"844","COG",1985,8717
"845","COL",1985,8718
"846","CUB",1985,27055
"847","CZE",1985,25179
"848","DOM",1985,2
"849","DZA",1985,5413
"850","EGY",1985,9433
"851","ERI",1985,3863
"852","ESH",1985,2429
"853","ESP",1985,12092
"854","ETH",1985,90253
"855","GHA",1985,15356
"856","GNB",1985,11534
"857","GNQ",1985,2
"858","GTM",1985,28758
"859","HTI",1985,8724
"860","HUN",1985,7164
"861","IDN",1985,8602
"862","IRN",1985,78913
"863","IRQ",1985,26345
"864","JOR",1985,5417
"865","KHM",1985,37318
"866","LAO",1985,21665
"867","LBN",1985,14604
"868","LBY",1985,5825
"869","LKA",1985,1916
"870","LTU",1985,2
"871","MAR",1985,2
"872","MOZ",1985,28337
"873","MRT",1985,2
"874","MWI",1985,7318
"875","NAM",1985,49094
"876","NGA",1985,2
"877","NIC",1985,33964
"878","PAK",1985,2
"879","PHL",1985,10643
"880","POL",1985,22613
"881","PSE",1985,28668
"882","ROU",1985,13248
"883","RUS",1985,713
"884","RWA",1985,12087
"885","SDN",1985,21048
"886","SLV",1985,38733
"887","SOM",1985,34987
"888","SRB",1985,10692
"889","Stateless",1985,19220
"890","STP",1985,7826
"891","SYC",1985,3374
"892","SYR",1985,22650
"893","TCD",1985,48213
"894","TGO",1985,7825
"895","TIB",1985,1190
"896","TUN",1985,8717
"897","TUR",1985,9884
"898","TZA",1985,2
"899","UGA",1985,38405
"900","URY",1985,24954
"901","Various/Unknown",1985,341864
"902","VNM",1985,83549
"903","YEM",1985,2
"904","ZAF",1985,56080
"905","ZWE",1985,7061
"906","AFG",1986,29057
"907","AGO",1986,19027
"908","ALB",1986,10640
"909","ARG",1986,8020
"910","ARM",1986,13869
"911","BDI",1986,6101
"912","BEN",1986,7826
"913","BFA",1986,449
"914","BGR",1986,2269
"915","BOL",1986,2
"916","BRA",1986,5413
"917","CAF",1986,4086
"918","CHL",1986,37343
"919","CHN",1986,5553
"920","COD",1986,44929
"921","COG",1986,8717
"922","COL",1986,7826
"923","CUB",1986,27686
"924","CZE",1986,6900
"925","DOM",1986,2
"926","DZA",1986,2
"927","EGY",1986,10075
"928","ERI",1986,2756
"929","ESH",1986,2429
"930","ESP",1986,2
"931","ETH",1986,74249
"932","GHA",1986,11748
"933","GIN",1986,7826
"934","GNB",1986,14935
"935","GTM",1986,27936
"936","HND",1986,6
"937","HTI",1986,9399
"938","HUN",1986,6555
"939","IDN",1986,8406
"940","IRN",1986,77683
"941","IRQ",1986,19698
"942","JOR",1986,5413
"943","KHM",1986,29839
"944","LAO",1986,19475
"945","LBN",1986,8969
"946","LBY",1986,5479
"947","LKA",1986,10549
"948","MAR",1986,2
"949","MOZ",1986,25815
"950","MRT",1986,2
"951","MWI",1986,7205
"952","NAM",1986,57199
