iso,year,meantmp,meanpre,meantmx,meanwet,sdtmp,sdpre,sdtmx,sdwet,nation,longrunmean_tmp,longrunsd_tmp,longrunmean_pre,longrunsd_pre,longrunmean_tmx,longrunsd_tmx,longrunmean_wet,longrunsd_wet,dev_tmp,dev_pre,dev_tmx,dev_wet,ano_tmp,ano_pre,ano_tmx,ano_wet
MEX,1996,21.700000762939453,58.64999771118164,29.566665649414062,4.849999904632568,3.8536875247955322,54.985740661621094,3.274233341217041,3.8080060482025146,114,20.972917556762695,0.3565940856933594,60.14540100097656,6.056070804595947,28.477170944213867,0.4555911123752594,5.130382061004639,0.32821282744407654,0.7347373962402344,-1.5111427307128906,1.1009635925292969,-0.28333330154418945,2.0604307651519775,-0.2495252788066864,2.416560649871826,-0.8632609248161316
MEX,1997,21.450000762939453,59.71666717529297,29.075000762939453,5.416666507720947,4.080441474914551,35.53599548339844,3.8212625980377197,2.6135427951812744,114,20.977834701538086,0.35802409052848816,60.1409797668457,6.024603366851807,28.483333587646484,0.4572589099407196,5.133333206176758,0.3277902901172638,0.4770832061767578,-0.42873382568359375,0.5978298187255859,0.2862844467163086,1.3325450420379639,-0.07116382569074631,1.3074208498001099,0.8733768463134766
MEX,1998,21.875,64.95833587646484,29.66666603088379,4.933333396911621,3.9524731636047363,66.41477966308594,3.609163761138916,4.027255535125732,114,20.986989974975586,0.3675229251384735,60.19013595581055,6.013191223144531,28.49540901184082,0.47033894062042236,5.131292343139648,0.3267214894294739,0.8971652984619141,4.817356109619141,1.1833324432373047,-0.19999980926513672,2.4411139488220215,0.8011313676834106,2.51591420173645,-0.6121416091918945
MEX,1999,21.491666793823242,64.741668701171875,29.15833282470703,4.900000095367432,3.6380460262298584,67.23358917236328,3.139906883239746,4.271895408630371,114,20.992088317871094,0.3691443204879761,60.23611068725586,5.999897003173828,28.502103805541992,0.4726525843143463,5.128956317901611,0.32588040828704834,0.50467681884765625,4.551532745361328,0.6629238128662109,-0.2312922477722168,1.3671531677246094,0.7586017847061157,1.4025604724884033,-0.7097457647323608
MEX,2000,21.70833396911621,59.483333587646484,29.20833396911621,5,3.7679169178009033,51.507808685302734,3.5559065341949463,3.5311601161956787,114,20.999250411987305,0.37419402599334717,60.22858428955078,5.969992160797119,28.509166717529297,0.4755328595638275,5.127666473388672,0.32448673248291016,0.7162456512451172,-0.752777099609375,0.70623016357421875,-0.12895631790161133,1.91410231590271,-0.12609347701072693,1.4851343631744385,-0.39741629362106323
MEX,2001,21.475000381469727,56,28.850000381469727,4.991666793823242,3.9131767749786377,45.122318267822266,3.787419319152832,3.1227779388427734,114,21.00395965576172,0.37531578540802,60.18671798706055,5.954950332641602,28.512540817260742,0.4743630886077881,5.126319885253906,0.32314369082450867,0.4757499694824219,-4.228584289550781,0.3408336639404297,-0.1359996795654297,1.267599105834961,-0.7100956439971924,0.7185080051422119,-0.42086440324783325
MEX,2002,21.683332443237305,59.44166564941406,29.15833282470703,5,3.905435085296631,52.150508880615234,3.759946584701538,3.3379361629486084,114,21.0106201171875,0.3794630765914917,60.179412841796875,5.925856590270996,28.51887321472168,0.47632038593292236,5.125081539154053,0.321783185005188,0.6793727874755859,-0.7450523376464844,0.6457920074462891,-0.12631988525390625,1.7903528213500977,-0.1257290542125702,1.3557933568954468,-0.3925621211528778
MEX,2003,21.79166603088379,63.99166488647461,29.174999237060547,5.2916669845581055,3.7344729900360107,57.5821533203125,3.410445213317871,3.8182477951049805,114,21.018203735351562,0.38536110520362854,60.21642303466797,5.908688545227051,28.52524185180664,0.47836852073669434,5.126698970794678,0.32062235474586487,0.7810459136962891,3.8122520446777344,0.6561260223388672,0.16658544540405273,2.026789665222168,0.6451942920684814,1.3715910911560059,0.5195690393447876
MEX,2004,21.516666412353516,68.383331298828125,28.883333206176758,5.683333396911621,3.83164644241333,52.711097717285156,3.491765022277832,3.3903160095214844,114,21.02299690246582,0.3865882456302643,60.294952392578125,5.934220790863037,28.5286865234375,0.4773339331150055,5.132051467895508,0.3236972391605377,0.4984626770019531,8.166908264160156,0.3580913543701172,0.5566344261169434,1.2893891334533691,1.3762394189834595,0.7501904368400574,1.7196143865585327
MEX,2005,21.825000762939453,59.900001525878906,29.375,5.0333333015441895,3.705554962158203,50.53565979003906,3.4842827320098877,3.551013708114624,114,21.030635833740234,0.3926057517528534,60.29119110107422,5.905747890472412,28.536745071411133,0.48215997219085693,5.131111145019531,0.32228124141693115,0.8020038604736328,-0.39495086669921875,0.8463134765625,-0.09871816635131836,2.042771577835083,-0.06687567383050919,1.7552545070648193,-0.30631062388420105
